method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10_pc10,1,500,1,0.100000,-0.002440,-0.166721,-0.166721,0.164281,0.164281,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002440,-0.166721,-0.166721,0.164281,0.164281,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,2,500,1,0.100000,0.237719,-0.016564,-0.016564,0.254283,0.254283,0.000000,0.000000,0.000000,0.000000,0.000000,0.237719,-0.016564,-0.016564,0.254283,0.254283,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,3,500,1,0.100000,0.289538,0.061910,0.061910,0.227628,0.227628,0.000000,0.000000,0.000000,0.000000,0.000000,0.289538,0.061910,0.061910,0.227628,0.227628,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,4,500,1,0.100000,0.087406,-0.085594,-0.085594,0.173000,0.173000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087406,-0.085594,-0.085594,0.173000,0.173000,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,5,500,1,0.100000,0.320083,0.076360,0.076360,0.243723,0.243723,0.000000,0.000000,0.000000,0.000000,0.000000,0.320083,0.076360,0.076360,0.243723,0.243723,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,6,500,1,0.100000,0.133592,0.058903,0.058903,0.074689,0.074689,0.000000,0.000000,0.000000,0.000000,0.000000,0.133592,0.058903,0.058903,0.074689,0.074689,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,7,500,1,0.100000,0.183336,0.094629,0.094629,0.088707,0.088707,0.000000,0.000000,0.000000,0.000000,0.000000,0.183336,0.094629,0.094629,0.088707,0.088707,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,8,500,1,0.100000,0.334223,0.106648,0.106648,0.227575,0.227575,0.000000,0.000000,0.000000,0.000000,0.000000,0.334223,0.106648,0.106648,0.227575,0.227575,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,9,500,1,0.100000,0.057233,-0.031328,-0.031328,0.088560,0.088560,0.000000,0.000000,0.000000,0.000000,0.000000,0.057233,-0.031328,-0.031328,0.088560,0.088560,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,10,500,1,0.100000,0.137520,-0.052850,-0.052850,0.190370,0.190370,0.000000,0.000000,0.000000,0.000000,0.000000,0.137520,-0.052850,-0.052850,0.190370,0.190370,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,11,500,1,0.100000,0.194816,-0.048720,-0.048720,0.243536,0.243536,0.000000,0.000000,0.000000,0.000000,0.000000,0.194816,-0.048720,-0.048720,0.243536,0.243536,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,12,500,1,0.100000,0.020397,-0.228481,-0.228481,0.248878,0.248878,0.000000,0.000000,0.000000,0.000000,0.000000,0.020397,-0.228481,-0.228481,0.248878,0.248878,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,13,500,1,0.100000,0.200793,0.008214,0.008214,0.192579,0.192579,0.000000,0.000000,0.000000,0.000000,0.000000,0.200793,0.008214,0.008214,0.192579,0.192579,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,14,500,1,0.100000,0.074904,0.018586,0.018586,0.056318,0.056318,0.000000,0.000000,0.000000,0.000000,0.000000,0.074904,0.018586,0.018586,0.056318,0.056318,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,15,500,1,0.100000,0.128833,-0.001559,-0.001559,0.130392,0.130392,0.000000,0.000000,0.000000,0.000000,0.000000,0.128833,-0.001559,-0.001559,0.130392,0.130392,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,16,500,1,0.100000,0.218240,0.038943,0.038943,0.179297,0.179297,0.000000,0.000000,0.000000,0.000000,0.000000,0.218240,0.038943,0.038943,0.179297,0.179297,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,17,500,1,0.100000,0.123797,-0.147383,-0.147383,0.271181,0.271181,0.000000,0.000000,0.000000,0.000000,0.000000,0.123797,-0.147383,-0.147383,0.271181,0.271181,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,18,500,1,0.100000,0.033828,-0.156707,-0.156707,0.190535,0.190535,0.000000,0.000000,0.000000,0.000000,0.000000,0.033828,-0.156707,-0.156707,0.190535,0.190535,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,19,500,1,0.100000,0.147232,-0.059548,-0.059548,0.206780,0.206780,0.000000,0.000000,0.000000,0.000000,0.000000,0.147232,-0.059548,-0.059548,0.206780,0.206780,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,20,500,1,0.100000,0.187527,-0.131806,-0.131806,0.319333,0.319333,0.000000,0.000000,0.000000,0.000000,0.000000,0.187527,-0.131806,-0.131806,0.319333,0.319333,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,21,500,1,0.100000,-0.106874,-0.193453,-0.193453,0.086579,0.086579,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106874,-0.193453,-0.193453,0.086579,0.086579,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,22,500,1,0.100000,0.098961,-0.155617,-0.155617,0.254578,0.254578,0.000000,0.000000,0.000000,0.000000,0.000000,0.098961,-0.155617,-0.155617,0.254578,0.254578,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,23,500,1,0.100000,0.151654,-0.043578,-0.043578,0.195233,0.195233,0.000000,0.000000,0.000000,0.000000,0.000000,0.151654,-0.043578,-0.043578,0.195233,0.195233,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,24,500,1,0.100000,0.229199,-0.049610,-0.049610,0.278809,0.278809,0.000000,0.000000,0.000000,0.000000,0.000000,0.229199,-0.049610,-0.049610,0.278809,0.278809,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,25,500,1,0.100000,0.047814,-0.139755,-0.139755,0.187569,0.187569,0.000000,0.000000,0.000000,0.000000,0.000000,0.047814,-0.139755,-0.139755,0.187569,0.187569,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,26,500,1,0.100000,0.195510,-0.022184,-0.022184,0.217693,0.217693,0.000000,0.000000,0.000000,0.000000,0.000000,0.195510,-0.022184,-0.022184,0.217693,0.217693,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,27,500,1,0.100000,0.088826,0.016902,0.016902,0.071924,0.071924,0.000000,0.000000,0.000000,0.000000,0.000000,0.088826,0.016902,0.016902,0.071924,0.071924,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,28,500,1,0.100000,0.080029,-0.082309,-0.082309,0.162337,0.162337,0.000000,0.000000,0.000000,0.000000,0.000000,0.080029,-0.082309,-0.082309,0.162337,0.162337,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,29,500,1,0.100000,0.337668,0.034203,0.034203,0.303466,0.303466,0.000000,0.000000,0.000000,0.000000,0.000000,0.337668,0.034203,0.034203,0.303466,0.303466,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,30,500,1,0.100000,0.237213,0.002759,0.002759,0.234453,0.234453,0.000000,0.000000,0.000000,0.000000,0.000000,0.237213,0.002759,0.002759,0.234453,0.234453,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,31,500,1,0.100000,-0.045432,-0.232179,-0.232179,0.186747,0.186747,0.000000,0.000000,0.000000,0.000000,0.000000,-0.045432,-0.232179,-0.232179,0.186747,0.186747,,,,,,
