method,scenario_id,scenario,n,eta,alpha_share,n_reps,p_c,ATE_est_mean,ATE_est_sd,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
lsem,1,n500_eta1_share10_pc10,500,1,0.100000,100,0.100000,0.158321,0.098710,0.158321,0.098710,0.186311,-0.039016,0.094236,-0.039016,0.094236,0.101557,-0.039016,0.094236,-0.039016,0.094236,0.101557,0.197337,0.073445,0.197337,0.073445,0.210433,0.197337,0.073445,0.197337,0.073445,0.210433
lsem,2,n1000_eta1_share10_pc10,1000,1,0.100000,100,0.100000,0.157792,0.078580,0.157792,0.078580,0.176100,-0.042905,0.071461,-0.042905,0.071461,0.083045,-0.042905,0.071461,-0.042905,0.071461,0.083045,0.200697,0.051139,0.200697,0.051139,0.207047,0.200697,0.051139,0.200697,0.051139,0.207047
lsem,3,n500_eta10_share10_pc10,500,10,0.100000,100,0.100000,0.152282,0.101981,0.152282,0.101981,0.182991,-0.095401,0.103277,-0.095401,0.103277,0.140217,-0.095401,0.103277,-0.095401,0.103277,0.140217,0.247683,0.085224,0.247683,0.085224,0.261796,0.247683,0.085224,0.247683,0.085224,0.261796
lsem,4,n1000_eta10_share10_pc10,1000,10,0.100000,100,0.100000,0.165987,0.078098,0.165987,0.078098,0.183276,-0.107529,0.081288,-0.107529,0.081288,0.134552,-0.107529,0.081288,-0.107529,0.081288,0.134552,0.273516,0.053311,0.273516,0.053311,0.278612,0.273516,0.053311,0.273516,0.053311,0.278612
lsem,5,n500_eta1_share50_pc10,500,1,0.500000,100,0.100000,0.140616,0.105807,0.140616,0.105807,0.175659,-0.046481,0.112077,-0.046481,0.112077,0.120815,-0.046481,0.112077,-0.046481,0.112077,0.120815,0.187097,0.069284,0.187097,0.069284,0.199393,0.187097,0.069284,0.187097,0.069284,0.199393
lsem,6,n1000_eta1_share50_pc10,1000,1,0.500000,100,0.100000,0.173077,0.077025,0.173077,0.077025,0.189286,-0.028705,0.073793,-0.028705,0.073793,0.078835,-0.028705,0.073793,-0.028705,0.073793,0.078835,0.201783,0.052578,0.201783,0.052578,0.208454,0.201783,0.052578,0.201783,0.052578,0.208454
lsem,7,n500_eta10_share50_pc10,500,10,0.500000,100,0.100000,0.128567,0.112466,0.128567,0.112466,0.170445,-0.112590,0.123936,-0.112590,0.123936,0.166982,-0.112590,0.123936,-0.112590,0.123936,0.166982,0.241157,0.091406,0.241157,0.091406,0.257736,0.241157,0.091406,0.241157,0.091406,0.257736
lsem,8,n1000_eta10_share50_pc10,1000,10,0.500000,100,0.100000,0.162661,0.083218,0.162661,0.083218,0.182523,-0.092278,0.076686,-0.092278,0.076686,0.119737,-0.092278,0.076686,-0.092278,0.076686,0.119737,0.254939,0.072424,0.254939,0.072424,0.264928,0.254939,0.072424,0.254939,0.072424,0.264928
lsem,9,n500_eta1_share10_pc20,500,1,0.100000,100,0.200000,0.174605,0.086762,0.174605,0.086762,0.194780,-0.054298,0.097265,-0.054298,0.097265,0.110969,-0.054298,0.097265,-0.054298,0.097265,0.110969,0.228903,0.072512,0.228903,0.072512,0.240004,0.228903,0.072512,0.228903,0.072512,0.240004
lsem,10,n1000_eta1_share10_pc20,1000,1,0.100000,100,0.200000,0.174084,0.060916,0.174084,0.060916,0.184334,-0.060099,0.074919,-0.060099,0.074919,0.095752,-0.060099,0.074919,-0.060099,0.074919,0.095752,0.234183,0.059961,0.234183,0.059961,0.241663,0.234183,0.059961,0.234183,0.059961,0.241663
