method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10,1,500,1,0.100000,-0.014633,-0.014463,-0.014463,-0.000170,-0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014633,-0.014463,-0.014463,-0.000170,-0.000170,,,,,,
lsem_proxyX,1,n500_eta1_share10,2,500,1,0.100000,-0.025173,-0.024346,-0.024346,-0.000827,-0.000827,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025173,-0.024346,-0.024346,-0.000827,-0.000827,,,,,,
lsem_proxyX,1,n500_eta1_share10,3,500,1,0.100000,0.026140,0.016300,0.016300,0.009840,0.009840,0.000000,0.000000,0.000000,0.000000,0.000000,0.026140,0.016300,0.016300,0.009840,0.009840,,,,,,
lsem_proxyX,1,n500_eta1_share10,4,500,1,0.100000,0.033670,0.038315,0.038315,-0.004646,-0.004646,0.000000,0.000000,0.000000,0.000000,0.000000,0.033670,0.038315,0.038315,-0.004646,-0.004646,,,,,,
lsem_proxyX,1,n500_eta1_share10,5,500,1,0.100000,0.063362,0.063944,0.063944,-0.000582,-0.000582,0.000000,0.000000,0.000000,0.000000,0.000000,0.063362,0.063944,0.063944,-0.000582,-0.000582,,,,,,
lsem_proxyX,1,n500_eta1_share10,6,500,1,0.100000,-0.018677,-0.031701,-0.031701,0.013023,0.013023,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018677,-0.031701,-0.031701,0.013023,0.013023,,,,,,
lsem_proxyX,1,n500_eta1_share10,7,500,1,0.100000,0.063557,0.076204,0.076204,-0.012646,-0.012646,0.000000,0.000000,0.000000,0.000000,0.000000,0.063557,0.076204,0.076204,-0.012646,-0.012646,,,,,,
lsem_proxyX,1,n500_eta1_share10,8,500,1,0.100000,0.022804,0.011986,0.011986,0.010817,0.010817,0.000000,0.000000,0.000000,0.000000,0.000000,0.022804,0.011986,0.011986,0.010817,0.010817,,,,,,
lsem_proxyX,1,n500_eta1_share10,9,500,1,0.100000,-0.052030,-0.047238,-0.047238,-0.004793,-0.004793,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052030,-0.047238,-0.047238,-0.004793,-0.004793,,,,,,
lsem_proxyX,1,n500_eta1_share10,10,500,1,0.100000,0.038362,0.036963,0.036963,0.001400,0.001400,0.000000,0.000000,0.000000,0.000000,0.000000,0.038362,0.036963,0.036963,0.001400,0.001400,,,,,,
lsem_proxyX,1,n500_eta1_share10,11,500,1,0.100000,0.028727,0.031805,0.031805,-0.003078,-0.003078,0.000000,0.000000,0.000000,0.000000,0.000000,0.028727,0.031805,0.031805,-0.003078,-0.003078,,,,,,
lsem_proxyX,1,n500_eta1_share10,12,500,1,0.100000,-0.025596,-0.026559,-0.026559,0.000963,0.000963,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025596,-0.026559,-0.026559,0.000963,0.000963,,,,,,
lsem_proxyX,1,n500_eta1_share10,13,500,1,0.100000,-0.070720,-0.072763,-0.072763,0.002043,0.002043,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070720,-0.072763,-0.072763,0.002043,0.002043,,,,,,
lsem_proxyX,1,n500_eta1_share10,14,500,1,0.100000,-0.044381,-0.041283,-0.041283,-0.003097,-0.003097,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044381,-0.041283,-0.041283,-0.003097,-0.003097,,,,,,
lsem_proxyX,1,n500_eta1_share10,15,500,1,0.100000,-0.003029,-0.002435,-0.002435,-0.000594,-0.000594,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003029,-0.002435,-0.002435,-0.000594,-0.000594,,,,,,
lsem_proxyX,1,n500_eta1_share10,16,500,1,0.100000,0.000309,0.002681,0.002681,-0.002372,-0.002372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000309,0.002681,0.002681,-0.002372,-0.002372,,,,,,
lsem_proxyX,1,n500_eta1_share10,17,500,1,0.100000,0.064118,0.057724,0.057724,0.006394,0.006394,0.000000,0.000000,0.000000,0.000000,0.000000,0.064118,0.057724,0.057724,0.006394,0.006394,,,,,,
lsem_proxyX,1,n500_eta1_share10,18,500,1,0.100000,0.114904,0.115687,0.115687,-0.000782,-0.000782,0.000000,0.000000,0.000000,0.000000,0.000000,0.114904,0.115687,0.115687,-0.000782,-0.000782,,,,,,
lsem_proxyX,1,n500_eta1_share10,19,500,1,0.100000,0.046684,0.035112,0.035112,0.011572,0.011572,0.000000,0.000000,0.000000,0.000000,0.000000,0.046684,0.035112,0.035112,0.011572,0.011572,,,,,,
lsem_proxyX,1,n500_eta1_share10,20,500,1,0.100000,0.031199,0.031541,0.031541,-0.000342,-0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,0.031199,0.031541,0.031541,-0.000342,-0.000342,,,,,,
lsem_proxyX,1,n500_eta1_share10,21,500,1,0.100000,0.018910,0.019122,0.019122,-0.000212,-0.000212,0.000000,0.000000,0.000000,0.000000,0.000000,0.018910,0.019122,0.019122,-0.000212,-0.000212,,,,,,
lsem_proxyX,1,n500_eta1_share10,22,500,1,0.100000,0.049035,0.054294,0.054294,-0.005260,-0.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.049035,0.054294,0.054294,-0.005260,-0.005260,,,,,,
lsem_proxyX,1,n500_eta1_share10,23,500,1,0.100000,-0.062550,-0.063418,-0.063418,0.000867,0.000867,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062550,-0.063418,-0.063418,0.000867,0.000867,,,,,,
lsem_proxyX,1,n500_eta1_share10,24,500,1,0.100000,0.006822,-0.001800,-0.001800,0.008622,0.008622,0.000000,0.000000,0.000000,0.000000,0.000000,0.006822,-0.001800,-0.001800,0.008622,0.008622,,,,,,
lsem_proxyX,1,n500_eta1_share10,25,500,1,0.100000,-0.041769,-0.052760,-0.052760,0.010990,0.010990,0.000000,0.000000,0.000000,0.000000,0.000000,-0.041769,-0.052760,-0.052760,0.010990,0.010990,,,,,,
lsem_proxyX,1,n500_eta1_share10,26,500,1,0.100000,0.067548,0.072063,0.072063,-0.004515,-0.004515,0.000000,0.000000,0.000000,0.000000,0.000000,0.067548,0.072063,0.072063,-0.004515,-0.004515,,,,,,
lsem_proxyX,1,n500_eta1_share10,27,500,1,0.100000,-0.047670,-0.052866,-0.052866,0.005196,0.005196,0.000000,0.000000,0.000000,0.000000,0.000000,-0.047670,-0.052866,-0.052866,0.005196,0.005196,,,,,,
lsem_proxyX,1,n500_eta1_share10,28,500,1,0.100000,0.064851,0.064697,0.064697,0.000153,0.000153,0.000000,0.000000,0.000000,0.000000,0.000000,0.064851,0.064697,0.064697,0.000153,0.000153,,,,,,
lsem_proxyX,1,n500_eta1_share10,29,500,1,0.100000,0.069080,0.068951,0.068951,0.000130,0.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.069080,0.068951,0.068951,0.000130,0.000130,,,,,,
lsem_proxyX,1,n500_eta1_share10,30,500,1,0.100000,0.004725,0.006401,0.006401,-0.001676,-0.001676,0.000000,0.000000,0.000000,0.000000,0.000000,0.004725,0.006401,0.006401,-0.001676,-0.001676,,,,,,
lsem_proxyX,1,n500_eta1_share10,31,500,1,0.100000,-0.110358,-0.110806,-0.110806,0.000448,0.000448,0.000000,0.000000,0.000000,0.000000,0.000000,-0.110358,-0.110806,-0.110806,0.000448,0.000448,,,,,,
lsem_proxyX,1,n500_eta1_share10,32,500,1,0.100000,0.071086,0.071538,0.071538,-0.000452,-0.000452,0.000000,0.000000,0.000000,0.000000,0.000000,0.071086,0.071538,0.071538,-0.000452,-0.000452,,,,,,
lsem_proxyX,1,n500_eta1_share10,33,500,1,0.100000,0.063341,0.065241,0.065241,-0.001900,-0.001900,0.000000,0.000000,0.000000,0.000000,0.000000,0.063341,0.065241,0.065241,-0.001900,-0.001900,,,,,,
lsem_proxyX,1,n500_eta1_share10,34,500,1,0.100000,-0.067365,-0.068375,-0.068375,0.001011,0.001011,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067365,-0.068375,-0.068375,0.001011,0.001011,,,,,,
lsem_proxyX,1,n500_eta1_share10,35,500,1,0.100000,-0.043988,-0.040761,-0.040761,-0.003227,-0.003227,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043988,-0.040761,-0.040761,-0.003227,-0.003227,,,,,,
lsem_proxyX,1,n500_eta1_share10,36,500,1,0.100000,-0.049392,-0.050257,-0.050257,0.000865,0.000865,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049392,-0.050257,-0.050257,0.000865,0.000865,,,,,,
lsem_proxyX,1,n500_eta1_share10,37,500,1,0.100000,0.032605,0.024132,0.024132,0.008473,0.008473,0.000000,0.000000,0.000000,0.000000,0.000000,0.032605,0.024132,0.024132,0.008473,0.008473,,,,,,
lsem_proxyX,1,n500_eta1_share10,38,500,1,0.100000,-0.030228,-0.023717,-0.023717,-0.006511,-0.006511,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030228,-0.023717,-0.023717,-0.006511,-0.006511,,,,,,
lsem_proxyX,1,n500_eta1_share10,39,500,1,0.100000,0.039813,0.038676,0.038676,0.001137,0.001137,0.000000,0.000000,0.000000,0.000000,0.000000,0.039813,0.038676,0.038676,0.001137,0.001137,,,,,,
lsem_proxyX,1,n500_eta1_share10,40,500,1,0.100000,-0.118872,-0.118790,-0.118790,-0.000082,-0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,-0.118872,-0.118790,-0.118790,-0.000082,-0.000082,,,,,,
lsem_proxyX,1,n500_eta1_share10,41,500,1,0.100000,-0.042792,-0.043135,-0.043135,0.000342,0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042792,-0.043135,-0.043135,0.000342,0.000342,,,,,,
lsem_proxyX,1,n500_eta1_share10,42,500,1,0.100000,0.046898,0.041367,0.041367,0.005531,0.005531,0.000000,0.000000,0.000000,0.000000,0.000000,0.046898,0.041367,0.041367,0.005531,0.005531,,,,,,
