epoch,loss
0,29.1946
1,25.9260
2,23.4040
3,21.4207
4,19.8902
5,18.7422
6,17.8687
7,17.1936
8,16.6782
9,16.2491
10,15.9207
11,15.6026
12,15.3554
13,15.1611
14,14.9881
15,14.8314
16,14.6692
17,14.5543
18,14.3567
19,14.1707
20,13.8868
21,13.5987
22,13.1797
23,12.8903
24,12.5955
25,12.4671
26,12.1023
27,11.8739
28,12.2215
29,11.8752
30,11.8991
31,11.6964
32,11.6183
33,11.7010
34,11.6020
35,11.5243
36,11.5055
37,11.5144
38,11.4326
39,11.4060
40,11.4589
41,11.3807
42,11.3634
43,11.4670
44,11.2939
45,11.2792
46,11.2978
47,11.2750
48,11.2602
49,11.2599
50,11.1675
51,11.1751
52,11.1873
53,11.1324
54,11.2410
55,11.1479
56,11.1083
57,11.1332
58,11.1136
59,11.0644
60,11.1276
61,11.0779
62,11.0511
63,11.0640
64,11.0430
65,10.9938
66,11.0474
67,10.9983
68,10.9460
69,10.9634
70,10.9647
71,10.9935
72,10.9325
73,10.9389
74,10.8783
75,11.0152
76,10.9372
77,10.8871
78,10.9520
79,10.8807
80,10.9425
81,10.8559
82,10.8579
83,10.8043
84,10.8392
85,10.8441
86,10.7688
87,10.8054
88,10.8635
89,10.7409
90,10.8040
91,10.7823
92,10.7395
93,10.8202
94,10.7502
95,10.7011
96,10.7269
97,10.7675
98,10.6852
99,10.7128
100,10.7448
101,10.6510
102,10.7025
103,10.7008
104,10.6386
105,10.6337
106,10.6537
107,10.8222
108,10.6415
109,10.6264
110,10.5880
111,10.7053
112,11.1586
113,10.5610
114,10.5546
115,10.6057
116,10.6035
117,10.5467
118,10.6702
119,10.5584
120,11.5111
121,10.5323
122,10.5617
123,12.7454
124,10.5342
125,10.4782
126,10.5041
127,10.6025
128,10.5241
129,10.5075
130,10.6298
131,10.4759
132,10.4531
133,10.5850
134,10.4251
135,10.3894
136,10.5179
137,10.4674
138,10.3895
139,10.5474
140,10.6857
141,10.4435
142,10.6069
143,10.4227
144,10.4361
145,10.5193
146,10.3741
147,10.3845
148,10.5132
149,10.3385
150,10.3575
151,10.6273
152,10.4539
153,10.3214
154,10.4518
155,10.3275
156,10.3259
157,10.3799
158,10.4003
159,10.2978
160,10.3362
161,10.4590
162,10.3122
163,10.3295
164,10.2382
165,10.3401
166,10.3090
167,10.2182
168,10.2097
169,10.3338
170,10.3646
171,10.1907
172,10.2768
173,11.3914
174,10.1552
175,10.3031
176,10.1984
177,10.2031
178,10.3185
179,10.1895
180,10.2472
181,10.2565
182,10.1543
183,10.2168
184,10.1993
185,10.1145
186,10.0781
187,10.2222
188,10.1594
189,10.0991
190,10.2206
191,13.7230
192,10.1975
193,11.8509
194,11.3015
195,9.9779
196,10.3446
197,11.9425
198,13.5213
199,10.2985
200,9.9569
201,9.9877
202,9.8379
203,9.9057
204,9.8255
205,9.7154
206,9.7277
207,9.9432
208,10.0799
209,10.1242
210,11.0047
211,9.9007
212,9.9402
213,9.9596
214,9.9776
215,10.0232
216,10.1185
217,9.9467
218,10.1892
219,10.0323
220,10.0076
221,9.9089
222,9.9696
223,9.8952
224,9.9508
225,9.9582
226,10.2189
227,9.8686
228,9.9002
229,9.8366
230,9.8416
231,10.0583
232,10.0786
233,9.8830
234,9.8962
235,9.8180
236,9.8496
237,9.8433
238,9.7855
239,9.7891
240,9.8853
241,9.7601
242,9.7762
243,9.9602
244,9.7491
245,9.7704
246,9.8034
247,9.7514
248,9.8387
249,9.7501
250,9.7522
251,9.7072
252,10.1912
253,9.8065
254,9.7160
255,9.9608
256,9.6753
257,9.6840
258,9.6763
259,9.8860
260,9.6998
261,9.9268
262,9.7060
263,9.6666
264,17.5354
265,9.5450
266,9.7016
267,9.7025
268,9.5571
269,9.5456
270,10.2395
271,9.5019
272,9.4866
273,9.4659
274,9.5084
275,9.4493
276,9.5145
277,9.4791
278,9.4630
279,9.5020
280,11.8472
281,9.5191
282,9.4518
283,9.8368
284,9.4547
285,9.5011
286,9.4545
287,9.5230
288,9.4153
289,9.5136
290,9.4059
291,9.5685
292,9.4992
293,9.4265
294,9.7843
295,9.4003
296,9.4145
297,9.3772
298,9.6457
299,10.6441
300,9.3951
301,9.4180
302,9.4035
303,9.7834
304,9.4862
305,9.4994
306,9.3665
307,9.3983
308,9.5226
309,9.3902
310,9.5523
311,9.3539
312,9.5960
313,9.3605
314,9.3448
315,9.3685
316,9.3142
317,9.5009
318,9.4203
319,13.4549
320,9.7733
321,9.5313
322,9.3520
323,9.3639
324,9.5134
325,9.3268
326,9.3747
327,9.4095
328,9.4341
329,9.3110
330,9.3416
331,9.3026
332,9.9078
333,9.3713
334,9.4043
335,9.3450
336,9.3185
337,9.3897
338,9.2765
339,9.3224
340,9.3283
341,9.3771
342,9.7118
343,9.3148
344,10.2413
345,11.4543
346,9.3310
347,9.2950
348,9.5056
349,9.5076
350,15.1723
351,9.4158
