method,scenario_id,scenario,n,eta,alpha_share,n_reps,ATE_est_mean,ATE_est_sd,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
lsem,1,n500_eta1_share10,500,1,0.100000,100,0.003941,0.054553,0.003941,0.054553,0.054423,0.004388,0.055331,0.004388,0.055331,0.055228,0.004388,0.055331,0.004388,0.055331,0.055228,-0.000448,0.005188,-0.000448,0.005188,0.005182,-0.000448,0.005188,-0.000448,0.005188,0.005182
lsem,2,n1000_eta1_share10,1000,1,0.100000,100,0.002585,0.044312,0.002585,0.044312,0.044166,0.002370,0.044207,0.002370,0.044207,0.044049,0.002370,0.044207,0.002370,0.044207,0.044049,0.000215,0.003046,0.000215,0.003046,0.003038,0.000215,0.003046,0.000215,0.003046,0.003038
lsem,3,n500_eta10_share10,500,10,0.100000,100,-0.002267,0.060044,-0.002267,0.060044,0.059786,0.001428,0.079978,0.001428,0.079978,0.079590,0.001428,0.079978,0.001428,0.079978,0.079590,-0.003694,0.041513,-0.003694,0.041513,0.041470,-0.003694,0.041513,-0.003694,0.041513,0.041470
lsem,4,n1000_eta10_share10,1000,10,0.100000,100,0.001190,0.038689,0.001190,0.038689,0.038514,0.003435,0.044073,0.003435,0.044073,0.043987,0.003435,0.044073,0.003435,0.044073,0.043987,-0.002245,0.025749,-0.002245,0.025749,0.025718,-0.002245,0.025749,-0.002245,0.025749,0.025718
lsem,5,n500_eta1_share50,500,1,0.500000,100,0.001620,0.064877,0.001620,0.064877,0.064572,0.001353,0.065227,0.001353,0.065227,0.064914,0.001353,0.065227,0.001353,0.065227,0.064914,0.000267,0.004649,0.000267,0.004649,0.004633,0.000267,0.004649,0.000267,0.004649,0.004633
lsem,6,n1000_eta1_share50,1000,1,0.500000,100,0.003028,0.037853,0.003028,0.037853,0.037785,0.002557,0.038615,0.002557,0.038615,0.038506,0.002557,0.038615,0.002557,0.038615,0.038506,0.000472,0.002931,0.000472,0.002931,0.002954,0.000472,0.002931,0.000472,0.002931,0.002954
lsem,7,n500_eta10_share50,500,10,0.500000,100,-0.006890,0.058639,-0.006890,0.058639,0.058751,-0.005975,0.069724,-0.005975,0.069724,0.069632,-0.005975,0.069724,-0.005975,0.069724,0.069632,-0.000915,0.039256,-0.000915,0.039256,0.039070,-0.000915,0.039256,-0.000915,0.039256,0.039070
lsem,8,n1000_eta10_share50,1000,10,0.500000,100,0.004932,0.042568,0.004932,0.042568,0.042641,0.004946,0.052467,0.004946,0.052467,0.052438,0.004946,0.052467,0.004946,0.052467,0.052438,-0.000015,0.028909,-0.000015,0.028909,0.028764,-0.000015,0.028909,-0.000015,0.028909,0.028764
lsem_i,1,n500_eta1_share10,500,1,0.100000,100,0.003947,0.054534,0.003947,0.054534,0.054404,0.004786,0.055725,0.004786,0.055725,0.055652,0.004181,0.055276,0.004181,0.055276,0.055157,-0.000234,0.005778,-0.000234,0.005778,0.005754,-0.000839,0.007500,-0.000839,0.007500,0.007509
lsem_i,2,n1000_eta1_share10,1000,1,0.100000,100,0.002593,0.044324,0.002593,0.044324,0.044178,0.002358,0.043906,0.002358,0.043906,0.043750,0.002384,0.044467,0.002384,0.044467,0.044308,0.000209,0.003131,0.000209,0.003131,0.003122,0.000235,0.005032,0.000235,0.005032,0.005012
lsem_i,3,n500_eta10_share10,500,10,0.100000,100,-0.002252,0.060017,-0.002252,0.060017,0.059759,0.004240,0.087482,0.004240,0.087482,0.087147,-0.000028,0.078181,-0.000028,0.078181,0.077789,-0.002224,0.042434,-0.002224,0.042434,0.042280,-0.006492,0.048482,-0.006492,0.048482,0.048673
lsem_i,4,n1000_eta10_share10,1000,10,0.100000,100,0.001318,0.038698,0.001318,0.038698,0.038526,0.003040,0.047572,0.003040,0.047572,0.047431,0.003782,0.044154,0.003782,0.044154,0.044095,-0.002464,0.027467,-0.002464,0.027467,0.027441,-0.001722,0.029121,-0.001722,0.029121,0.029026
lsem_i,5,n500_eta1_share50,500,1,0.500000,100,0.001580,0.064900,0.001580,0.064900,0.064594,-0.000063,0.065627,-0.000063,0.065627,0.065298,0.001973,0.065306,0.001973,0.065306,0.065009,-0.000392,0.005960,-0.000392,0.005960,0.005944,0.001643,0.007196,0.001643,0.007196,0.007346
lsem_i,6,n1000_eta1_share50,1000,1,0.500000,100,0.003016,0.037883,0.003016,0.037883,0.037814,0.002426,0.039128,0.002426,0.039128,0.039007,0.002633,0.038561,0.002633,0.038561,0.038458,0.000382,0.003667,0.000382,0.003667,0.003669,0.000589,0.004996,0.000589,0.004996,0.005006
lsem_i,7,n500_eta10_share50,500,10,0.500000,100,-0.006949,0.059021,-0.006949,0.059021,0.059135,-0.007506,0.079379,-0.007506,0.079379,0.079337,-0.005066,0.068137,-0.005066,0.068137,0.067984,-0.001883,0.041496,-0.001883,0.041496,0.041331,0.000557,0.044388,0.000557,0.044388,0.044169
lsem_i,8,n1000_eta10_share50,1000,10,0.500000,100,0.004854,0.042600,0.004854,0.042600,0.042663,0.005665,0.058683,0.005665,0.058683,0.058663,0.004345,0.051285,0.004345,0.051285,0.051213,0.000509,0.030656,0.000509,0.030656,0.030506,-0.000811,0.033766,-0.000811,0.033766,0.033606
dml,1,n500_eta1_share10,500,1,0.100000,100,0.005966,0.054705,0.005966,0.054705,0.054757,0.005097,0.058841,0.005097,0.058841,0.058768,0.004874,0.055529,0.004874,0.055529,0.055465,0.001092,0.010803,0.001092,0.010803,0.010804,0.000870,0.022086,0.000870,0.022086,0.021993
dml,2,n1000_eta1_share10,1000,1,0.100000,100,0.002519,0.044576,0.002519,0.044576,0.044424,0.002006,0.044301,0.002006,0.044301,0.044124,0.002162,0.045086,0.002162,0.045086,0.044912,0.000357,0.005666,0.000357,0.005666,0.005649,0.000513,0.011829,0.000513,0.011829,0.011781
dml,3,n500_eta10_share10,500,10,0.100000,100,-0.004303,0.059081,-0.004303,0.059081,0.058942,0.003151,0.090970,0.003151,0.090970,0.090569,-0.011856,0.070740,-0.011856,0.070740,0.071377,0.007553,0.033724,0.007553,0.033724,0.034395,-0.007454,0.061394,-0.007454,0.061394,0.061539
dml,4,n1000_eta10_share10,1000,10,0.100000,100,-0.000414,0.044069,-0.000414,0.044069,0.043850,-0.002238,0.063186,-0.002238,0.063186,0.062909,-0.002876,0.054466,-0.002876,0.054466,0.054269,0.002462,0.031758,0.002462,0.031758,0.031694,0.001825,0.051509,0.001825,0.051509,0.051283
dml,5,n500_eta1_share50,500,1,0.500000,100,-0.000046,0.067705,-0.000046,0.067705,0.067366,-0.005378,0.068759,-0.005378,0.068759,0.068626,-0.000619,0.068951,-0.000619,0.068951,0.068608,0.000574,0.009901,0.000574,0.009901,0.009868,0.005332,0.024523,0.005332,0.024523,0.024976
dml,6,n1000_eta1_share50,1000,1,0.500000,100,0.001961,0.039192,0.001961,0.039192,0.039045,-0.000522,0.040199,-0.000522,0.040199,0.040001,0.001398,0.040046,0.001398,0.040046,0.039869,0.000564,0.006115,0.000564,0.006115,0.006110,0.002483,0.012364,0.002483,0.012364,0.012550
dml,7,n500_eta10_share50,500,10,0.500000,100,-0.007554,0.060140,-0.007554,0.060140,0.060313,-0.000947,0.090146,-0.000947,0.090146,0.089699,-0.018630,0.065572,-0.018630,0.065572,0.067851,0.011077,0.042351,0.011077,0.042351,0.043570,-0.006607,0.067210,-0.006607,0.067210,0.067199
dml,8,n1000_eta10_share50,1000,10,0.500000,100,0.006251,0.043107,0.006251,0.043107,0.043345,0.012028,0.061650,0.012028,0.061650,0.062509,0.000217,0.055527,0.000217,0.055527,0.055249,0.006034,0.032600,0.006034,0.032600,0.032993,-0.005777,0.046737,-0.005777,0.046737,0.046860
dmavae,1,n500_eta1_share10,500,1,0.100000,100,-0.008930,0.061660,-0.008930,0.061660,0.061997,,,,,,-0.005034,0.062381,-0.005034,0.062381,0.062272,-0.003896,0.007239,-0.003896,0.007239,0.008189,-0.005161,0.012149,-0.005161,0.012149,0.013144
dmavae,2,n1000_eta1_share10,1000,1,0.100000,100,-0.007300,0.050333,-0.007300,0.050333,0.050610,,,,,,-0.004379,0.050816,-0.004379,0.050816,0.050751,-0.002921,0.004136,-0.002921,0.004136,0.005047,-0.002784,0.007138,-0.002784,0.007138,0.007629
dmavae,3,n500_eta10_share10,500,10,0.100000,100,-0.025006,0.065993,-0.025006,0.065993,0.070263,,,,,,0.007325,0.083057,0.007325,0.083057,0.082964,-0.032332,0.057929,-0.032332,0.057929,0.066088,-0.031694,0.072737,-0.031694,0.072737,0.079008
dmavae,4,n1000_eta10_share10,1000,10,0.100000,100,-0.005094,0.049769,-0.005094,0.049769,0.049781,,,,,,0.004388,0.058898,0.004388,0.058898,0.058767,-0.009482,0.047346,-0.009482,0.047346,0.048054,-0.003343,0.049624,-0.003343,0.049624,0.049488
dmavae,5,n500_eta1_share50,500,1,0.500000,100,-0.013882,0.071820,-0.013882,0.071820,0.072796,,,,,,-0.009725,0.072444,-0.009725,0.072444,0.072734,-0.004157,0.006901,-0.004157,0.006901,0.008027,-0.002484,0.008572,-0.002484,0.008572,0.008883
dmavae,6,n1000_eta1_share50,1000,1,0.500000,100,-0.009131,0.046093,-0.009131,0.046093,0.046762,,,,,,-0.006393,0.047546,-0.006393,0.047546,0.047737,-0.002737,0.004578,-0.002737,0.004578,0.005314,-0.003129,0.005842,-0.003129,0.005842,0.006601
dmavae,7,n500_eta10_share50,500,10,0.500000,100,-0.013645,0.062926,-0.013645,0.062926,0.064080,,,,,,0.000791,0.079606,0.000791,0.079606,0.079211,-0.014436,0.052897,-0.014436,0.052897,0.054576,-0.011897,0.055228,-0.011897,0.055228,0.056224
dmavae,8,n1000_eta10_share50,1000,10,0.500000,100,0.002099,0.042055,0.002099,0.042055,0.041897,,,,,,0.011692,0.068622,0.011692,0.068622,0.069272,-0.009593,0.056231,-0.009593,0.056231,0.056765,-0.012003,0.059546,-0.012003,0.059546,0.060451
cmavae,1,n500_eta1_share10,500,1,0.100000,100,-0.011692,0.067728,-0.011692,0.067728,0.068395,,,,,,-0.006628,0.068593,-0.006628,0.068593,0.068570,-0.005064,0.008260,-0.005064,0.008260,0.009654,-0.005749,0.013714,-0.005749,0.013714,0.014807
cmavae,2,n1000_eta1_share10,1000,1,0.100000,100,-0.016556,0.053001,-0.016556,0.053001,0.055273,,,,,,-0.013076,0.053770,-0.013076,0.053770,0.055076,-0.003479,0.004848,-0.003479,0.004848,0.005947,-0.003603,0.008204,-0.003603,0.008204,0.008922
cmavae,3,n500_eta10_share10,500,10,0.100000,100,-0.043569,0.091084,-0.043569,0.091084,0.100557,,,,,,0.066721,0.092170,0.066721,0.092170,0.113411,-0.110290,0.066424,-0.110290,0.066424,0.128577,-0.096304,0.077467,-0.096304,0.077467,0.123351
cmavae,4,n1000_eta10_share10,1000,10,0.100000,100,-0.031936,0.077166,-0.031936,0.077166,0.083156,,,,,,0.109669,0.089903,0.109669,0.089903,0.141524,-0.141606,0.075263,-0.141606,0.075263,0.160187,-0.100828,0.067089,-0.100828,0.067089,0.120922
