method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.529936,1.088487,1.088487,0.441450,0.441450,1.670250,1.286532,1.094672,0.575578,0.383719,-0.140314,-0.198045,-0.006186,-0.134128,0.057731,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.654850,1.225220,1.225220,0.429630,0.429630,1.697492,1.314050,1.122329,0.575163,0.383442,-0.042641,-0.088829,0.102892,-0.145533,0.046188,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.594588,1.142937,1.142937,0.451651,0.451651,1.715386,1.331207,1.139117,0.576269,0.384179,-0.120798,-0.188270,0.003820,-0.124618,0.067471,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.644865,1.164637,1.164637,0.480228,0.480228,1.684827,1.301276,1.109500,0.575326,0.383551,-0.039962,-0.136639,0.055136,-0.095098,0.096677,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.702258,1.199598,1.199598,0.502660,0.502660,1.703350,1.319741,1.127937,0.575413,0.383609,-0.001092,-0.120144,0.071661,-0.072753,0.119051,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.742233,1.207588,1.207588,0.534645,0.534645,1.702184,1.318013,1.125928,0.576255,0.384170,0.040049,-0.110425,0.081660,-0.041611,0.150475,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.683647,1.262561,1.262561,0.421086,0.421086,1.694767,1.310704,1.118672,0.576095,0.384063,-0.011120,-0.048143,0.143889,-0.155009,0.037023,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.849268,1.266176,1.266176,0.583092,0.583092,1.723398,1.340280,1.148721,0.574678,0.383118,0.125870,-0.074104,0.117455,0.008415,0.199974,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.706012,1.250280,1.250280,0.455732,0.455732,1.694574,1.311132,1.119411,0.575163,0.383442,0.011438,-0.060851,0.130870,-0.119431,0.072290,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.724575,1.292212,1.292212,0.432363,0.432363,1.723644,1.339503,1.147433,0.576210,0.384140,0.000932,-0.047292,0.144778,-0.143847,0.048223,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,11,1000,10,1,1.472042,1.127266,1.127266,0.344776,0.344776,1.716903,1.332897,1.140895,0.576008,0.384006,-0.244860,-0.205631,-0.013629,-0.231232,-0.039229,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,12,1000,10,1,1.589105,1.126122,1.126122,0.462983,0.462983,1.705487,1.321772,1.129915,0.575573,0.383715,-0.116383,-0.195651,-0.003793,-0.112590,0.079268,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,13,1000,10,1,1.839267,1.327286,1.327286,0.511981,0.511981,1.694321,1.310057,1.117925,0.576396,0.384264,0.144946,0.017229,0.209361,-0.064415,0.127717,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,14,1000,10,1,1.723265,1.213749,1.213749,0.509516,0.509516,1.659156,1.275646,1.083891,0.575264,0.383510,0.064109,-0.061897,0.129858,-0.065748,0.126006,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,15,1000,10,1,1.560750,1.142843,1.142843,0.417907,0.417907,1.711819,1.327763,1.135735,0.576084,0.384056,-0.151069,-0.184920,0.007108,-0.158177,0.033851,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,16,1000,10,1,1.613634,1.217249,1.217249,0.396385,0.396385,1.703116,1.318771,1.126599,0.576517,0.384344,-0.089482,-0.101522,0.090650,-0.180132,0.012040,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,17,1000,10,1,1.492915,1.067682,1.067682,0.425233,0.425233,1.691940,1.307948,1.115951,0.575989,0.383993,-0.199025,-0.240265,-0.048269,-0.150756,0.041240,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,18,1000,10,1,1.505881,1.072848,1.072848,0.433032,0.433032,1.714513,1.330315,1.138216,0.576297,0.384198,-0.208633,-0.257467,-0.065368,-0.143265,0.048834,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,19,1000,10,1,1.642873,1.182391,1.182391,0.460482,0.460482,1.675652,1.292104,1.100330,0.575323,0.383548,-0.032779,-0.109713,0.082061,-0.114841,0.076934,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,20,1000,10,1,1.672274,1.233479,1.233479,0.438794,0.438794,1.719025,1.335229,1.143331,0.575694,0.383796,-0.046751,-0.101749,0.090149,-0.136900,0.054998,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,21,1000,10,1,1.669630,1.239034,1.239034,0.430596,0.430596,1.714574,1.330630,1.138658,0.575916,0.383944,-0.044944,-0.091596,0.100376,-0.145320,0.046652,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,22,1000,10,1,1.585458,1.078118,1.078118,0.507340,0.507340,1.706133,1.322573,1.130792,0.575340,0.383560,-0.120675,-0.244454,-0.052674,-0.068000,0.123780,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,23,1000,10,1,1.820146,1.226841,1.226841,0.593306,0.593306,1.710606,1.326769,1.134851,0.575755,0.383837,0.109540,-0.099929,0.091990,0.017550,0.209469,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,24,1000,10,1,1.658408,1.168173,1.168173,0.490234,0.490234,1.672889,1.288824,1.096791,0.576098,0.384065,-0.014482,-0.120651,0.071382,-0.085863,0.106169,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,25,1000,10,1,1.741535,1.189136,1.189136,0.552399,0.552399,1.712532,1.329639,1.138192,0.574340,0.382894,0.029003,-0.140502,0.050944,-0.021942,0.169505,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,26,1000,10,1,1.854281,1.291716,1.291716,0.562565,0.562565,1.721315,1.338014,1.146363,0.574952,0.383302,0.132966,-0.046298,0.145353,-0.012388,0.179263,,,,,,
lsem_proxyX,1,N1000_nX10_sx1,27,1000,10,1,1.644692,1.088935,1.088935,0.555756,0.555756,1.723220,1.339171,1.147147,0.576073,0.384048,-0.078528,-0.250236,-0.058212,-0.020316,0.171708,,,,,,
