epoch,loss
0,342.0827
1,336.6728
2,331.4046
3,325.7768
4,319.1628
5,311.0388
6,302.1152
7,292.7038
8,284.0673
9,276.4568
10,269.8854
11,264.5135
12,260.0185
13,256.9555
14,253.9807
15,252.1620
16,250.7278
17,249.1256
18,248.1898
19,247.0202
20,246.5641
21,246.6613
22,245.7789
23,245.8849
24,245.1677
25,244.9503
26,244.6091
27,244.3394
28,244.2794
29,243.8594
30,243.9567
31,243.4666
32,243.4280
33,242.9248
34,243.1345
35,242.7607
36,242.3282
37,242.0677
38,242.2622
39,241.9674
40,241.8562
41,241.8582
42,241.4797
43,241.0471
44,241.0028
45,240.7038
46,240.5536
47,240.5057
48,240.3226
49,240.1656
50,239.9861
51,239.8398
52,239.6965
53,239.6296
54,239.6957
55,239.3636
56,239.1062
57,239.1723
58,238.9078
59,238.7278
60,238.6502
61,238.5404
62,238.3947
63,238.3361
64,238.2182
65,238.1724
66,238.1675
67,238.1831
68,237.9373
69,237.8981
70,237.8412
71,237.7237
72,237.7139
73,237.6937
74,237.5417
75,237.4304
76,237.3378
77,237.3773
78,237.4347
79,237.3119
80,237.2199
81,237.1110
82,237.1160
83,237.1145
84,237.0652
85,236.9529
86,236.9914
87,236.9502
88,236.9558
89,236.9036
90,236.7688
91,236.8325
92,236.7900
93,236.8163
94,236.7290
95,236.6935
96,236.6840
97,236.6026
98,236.6672
99,236.5346
100,236.5698
101,236.4981
102,236.4487
103,236.4246
104,236.4059
105,236.2911
106,236.3750
107,236.2988
108,236.3030
109,236.3359
110,236.2823
111,236.1730
112,236.1839
113,236.2243
114,236.0500
115,236.0427
116,236.0193
117,236.0620
118,236.0766
119,236.0479
120,235.9725
121,235.9705
122,235.9453
123,235.8417
124,235.7887
125,235.8737
126,235.8372
127,235.8741
128,235.7789
129,235.8010
130,235.8068
131,235.8016
132,235.7466
133,235.7145
134,235.7058
135,235.7039
136,235.6395
137,235.6480
138,235.6037
139,235.6144
140,235.6238
141,235.5723
142,235.5904
143,235.5333
144,235.5818
145,235.5384
146,235.5360
147,235.5259
148,235.5707
149,235.4817
150,235.4688
151,235.4924
152,235.4708
153,235.4759
154,235.4376
155,235.3899
156,235.3685
157,235.3264
158,235.3278
159,235.3737
160,235.3517
161,235.3792
162,235.3275
163,235.3003
164,235.2866
165,235.3109
166,235.2529
167,235.2264
168,235.2590
169,235.3175
170,235.1918
171,235.2397
172,235.2158
173,235.2496
174,235.1774
175,235.2389
176,235.1590
177,235.1221
178,235.1612
179,235.2125
180,235.2082
181,235.1661
182,235.0945
183,235.0772
184,235.1395
185,235.0970
186,235.1478
187,235.0805
188,235.0693
189,235.0486
190,235.0803
191,235.1009
192,235.0691
193,235.0493
194,235.0575
195,235.0416
196,235.0177
197,234.9959
198,234.9732
199,234.9770
200,234.9643
201,234.9863
202,234.9750
203,234.9148
204,234.9521
205,234.9355
206,234.9385
207,234.9256
208,234.9184
209,234.9261
210,234.9720
211,234.9364
212,234.9358
