method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
cmavae,1,N1000_nX10_sx1,1,1000,10,1,1.569011,1.017615,0.551396,0.350674,1.670250,1.094672,0.575578,0.383719,-0.101239,-0.077058,-0.024182,-0.033045,True,28.837073,19.510974,0.007314,0.323407,0.000375
cmavae,1,N1000_nX10_sx1,2,1000,10,1,1.572587,1.058298,0.514289,0.345057,1.697492,1.122329,0.575163,0.383442,-0.124904,-0.064030,-0.060874,-0.038385,True,29.129941,19.493481,0.008691,0.330809,0.000446
cmavae,1,N1000_nX10_sx1,3,1000,10,1,1.565218,0.987849,0.577369,0.375661,1.715386,1.139117,0.576269,0.384179,-0.150168,-0.151268,0.001100,-0.008518,True,29.449586,19.739118,0.006453,0.329732,0.000327
cmavae,1,N1000_nX10_sx1,4,1000,10,1,1.516706,0.944253,0.572453,0.378079,1.684827,1.109500,0.575326,0.383551,-0.168121,-0.165247,-0.002873,-0.005472,True,29.802237,19.676182,0.007189,0.339775,0.000365
cmavae,1,N1000_nX10_sx1,5,1000,10,1,1.741154,1.096405,0.644749,0.405463,1.703350,1.127937,0.575413,0.383609,0.037803,-0.031532,0.069336,0.021854,True,29.494108,19.600960,0.007595,0.335428,0.000387
cmavae,1,N1000_nX10_sx1,6,1000,10,1,1.644840,1.001812,0.643028,0.402654,1.702184,1.125928,0.576255,0.384170,-0.057344,-0.124117,0.066773,0.018484,True,30.285710,19.474559,0.005511,0.356972,0.000283
cmavae,1,N1000_nX10_sx1,7,1000,10,1,1.648400,1.098362,0.550038,0.354114,1.694767,1.118672,0.576095,0.384063,-0.046367,-0.020310,-0.026057,-0.029950,True,29.703580,19.480071,0.006349,0.344184,0.000326
cmavae,1,N1000_nX10_sx1,8,1000,10,1,1.844823,1.107727,0.737096,0.450410,1.723398,1.148721,0.574678,0.383118,0.121425,-0.040994,0.162418,0.067292,True,29.961086,19.424205,0.010030,0.351686,0.000516
cmavae,1,N1000_nX10_sx1,9,1000,10,1,1.631217,1.086968,0.544249,0.364024,1.694574,1.119411,0.575163,0.383442,-0.063357,-0.032443,-0.030914,-0.019418,True,29.151233,19.580648,0.007710,0.328308,0.000394
cmavae,1,N1000_nX10_sx1,10,1000,10,1,1.786831,1.271397,0.515434,0.382289,1.723644,1.147433,0.576210,0.384140,0.063187,0.123963,-0.060776,-0.001851,True,29.885771,19.581978,0.008275,0.344773,0.000423
