method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
dmavae,1,N1000_nX10_sx1,1,1000,10,1,1.659685,1.073953,0.585732,0.375833,1.670250,1.094672,0.575578,0.383719,-0.010565,-0.020719,0.010155,-0.007886,True,27.364077,19.767922,0.012221,0.277596,0.000618
dmavae,1,N1000_nX10_sx1,2,1000,10,1,1.624152,1.071222,0.552930,0.378145,1.697492,1.122329,0.575163,0.383442,-0.073340,-0.051106,-0.022233,-0.005297,True,27.637791,19.749243,0.011758,0.285426,0.000595
dmavae,1,N1000_nX10_sx1,3,1000,10,1,1.609163,1.016114,0.593049,0.392595,1.715386,1.139117,0.576269,0.384179,-0.106223,-0.123003,0.016780,0.008416,True,27.689552,19.935377,0.012331,0.280040,0.000619
dmavae,1,N1000_nX10_sx1,4,1000,10,1,1.547148,0.938224,0.608924,0.397869,1.684827,1.109500,0.575326,0.383551,-0.137679,-0.171276,0.033597,0.014319,True,27.665686,19.911796,0.014459,0.280271,0.000726
dmavae,1,N1000_nX10_sx1,5,1000,10,1,1.818241,1.152981,0.665260,0.431630,1.703350,1.127937,0.575413,0.383609,0.114891,0.025044,0.089846,0.048021,True,27.997332,19.832950,0.014971,0.291613,0.000755
dmavae,1,N1000_nX10_sx1,6,1000,10,1,1.624056,0.945526,0.678530,0.420062,1.702184,1.125928,0.576255,0.384170,-0.078128,-0.180403,0.102275,0.035892,True,28.447093,19.716902,0.018738,0.306892,0.000950
dmavae,1,N1000_nX10_sx1,7,1000,10,1,1.660994,1.089325,0.571669,0.379883,1.694767,1.118672,0.576095,0.384063,-0.033773,-0.029347,-0.004426,-0.004181,True,28.571784,19.690886,0.010836,0.310828,0.000550
dmavae,1,N1000_nX10_sx1,8,1000,10,1,1.914278,1.132248,0.782030,0.486957,1.723398,1.148721,0.574678,0.383118,0.190880,-0.016473,0.207353,0.103838,True,28.356068,19.623497,0.020575,0.307961,0.001048
dmavae,1,N1000_nX10_sx1,9,1000,10,1,1.655954,1.026489,0.629465,0.393985,1.694574,1.119411,0.575163,0.383442,-0.038620,-0.092921,0.054302,0.010543,True,28.013697,19.783805,0.016623,0.293781,0.000840
dmavae,1,N1000_nX10_sx1,10,1000,10,1,1.922840,1.291991,0.630848,0.489346,1.723644,1.147433,0.576210,0.384140,0.199196,0.144558,0.054638,0.105206,True,27.425339,19.871269,0.017228,0.275441,0.000867
dmavae,1,N1000_nX10_sx1,11,1000,10,1,1.596055,1.152733,0.443322,0.321157,1.716903,1.140895,0.576008,0.384006,-0.120848,0.011839,-0.132686,-0.062849,True,27.614571,19.628376,0.012813,0.289202,0.000653
dmavae,1,N1000_nX10_sx1,12,1000,10,1,1.619148,0.826960,0.792188,0.417319,1.705487,1.129915,0.575573,0.383715,-0.086340,-0.302955,0.216615,0.033604,True,28.119384,19.744749,0.013037,0.297824,0.000660
dmavae,1,N1000_nX10_sx1,13,1000,10,1,1.887288,1.140540,0.746747,0.429918,1.694321,1.117925,0.576396,0.384264,0.192967,0.022616,0.170351,0.045654,True,27.995400,19.920477,0.014022,0.288437,0.000704
dmavae,1,N1000_nX10_sx1,14,1000,10,1,1.893170,1.252130,0.641040,0.474736,1.659156,1.083891,0.575264,0.383510,0.234014,0.168239,0.065776,0.091227,True,28.216741,19.900848,0.005924,0.294715,0.000298
dmavae,1,N1000_nX10_sx1,15,1000,10,1,1.633678,1.113836,0.519842,0.367410,1.711819,1.135735,0.576084,0.384056,-0.078141,-0.021899,-0.056242,-0.016646,True,27.517977,19.727634,0.012700,0.283100,0.000644
dmavae,1,N1000_nX10_sx1,16,1000,10,1,1.619740,1.055009,0.564731,0.306907,1.703116,1.126599,0.576517,0.384344,-0.083376,-0.071590,-0.011786,-0.077438,True,27.488054,19.760247,0.012348,0.281133,0.000625
dmavae,1,N1000_nX10_sx1,17,1000,10,1,1.448807,0.885416,0.563392,0.342618,1.691940,1.115951,0.575989,0.383993,-0.243133,-0.230536,-0.012597,-0.041375,True,28.557709,19.806582,0.023002,0.306437,0.001161
dmavae,1,N1000_nX10_sx1,18,1000,10,1,1.558296,0.964736,0.593560,0.385487,1.714513,1.138216,0.576297,0.384198,-0.156217,-0.173480,0.017263,0.001289,True,27.767806,19.717438,0.010995,0.289917,0.000558
dmavae,1,N1000_nX10_sx1,19,1000,10,1,1.653791,1.072937,0.580853,0.432273,1.675652,1.100330,0.575323,0.383548,-0.021862,-0.027392,0.005531,0.048724,True,27.455470,19.668013,0.011557,0.283640,0.000588
dmavae,1,N1000_nX10_sx1,20,1000,10,1,1.811604,1.107873,0.703731,0.469360,1.719025,1.143331,0.575694,0.383796,0.092579,-0.035457,0.128037,0.085564,True,28.180254,19.745184,0.012219,0.299326,0.000619
dmavae,1,N1000_nX10_sx1,21,1000,10,1,2.098411,1.490395,0.608016,0.435014,1.714574,1.138658,0.575916,0.383944,0.383836,0.351737,0.032100,0.051070,True,29.234162,20.025483,0.020829,0.314997,0.001040
dmavae,1,N1000_nX10_sx1,22,1000,10,1,1.712350,1.028655,0.683696,0.462212,1.706133,1.130792,0.575340,0.383560,0.006217,-0.102138,0.108355,0.078652,True,27.250367,19.681793,0.011180,0.277742,0.000568
dmavae,1,N1000_nX10_sx1,23,1000,10,1,1.940862,1.172024,0.768838,0.516869,1.710606,1.134851,0.575755,0.383837,0.230255,0.037173,0.193083,0.133032,True,28.320343,19.865242,0.026411,0.298552,0.001329
dmavae,1,N1000_nX10_sx1,24,1000,10,1,2.043627,1.312453,0.731173,0.464069,1.672889,1.096791,0.576098,0.384065,0.370737,0.215662,0.155075,0.080004,True,26.740153,19.914288,0.008260,0.255266,0.000415
dmavae,1,N1000_nX10_sx1,25,1000,10,1,1.975478,1.231038,0.744440,0.490176,1.712532,1.138192,0.574340,0.382894,0.262946,0.092846,0.170100,0.107282,True,28.235174,19.945973,0.006856,0.293577,0.000344
dmavae,1,N1000_nX10_sx1,26,1000,10,1,2.034034,1.150306,0.883729,0.594590,1.721315,1.146363,0.574952,0.383302,0.312719,0.003943,0.308776,0.211288,True,29.303242,19.938402,0.012611,0.319584,0.000633
dmavae,1,N1000_nX10_sx1,27,1000,10,1,1.720702,0.987945,0.732758,0.503410,1.723220,1.147147,0.576073,0.384048,-0.002517,-0.159202,0.156685,0.119362,True,28.137144,19.892307,0.010352,0.293023,0.000520
dmavae,1,N1000_nX10_sx1,28,1000,10,1,1.982783,1.128923,0.853860,0.634088,1.709716,1.133421,0.576295,0.384197,0.273067,-0.004498,0.277565,0.249891,True,29.094314,19.958137,0.005383,0.314019,0.000270
dmavae,1,N1000_nX10_sx1,29,1000,10,1,1.781908,1.261772,0.520136,0.387557,1.671674,1.095688,0.575986,0.383991,0.110233,0.166084,-0.055850,0.003566,True,26.904406,19.820660,0.014691,0.263293,0.000741
dmavae,1,N1000_nX10_sx1,30,1000,10,1,1.885219,1.198773,0.686446,0.481140,1.711242,1.136297,0.574944,0.383296,0.173977,0.062476,0.111502,0.097844,True,28.211827,19.798781,0.008349,0.298210,0.000422
dmavae,1,N1000_nX10_sx1,31,1000,10,1,1.565864,1.167978,0.397886,0.263297,1.701806,1.125964,0.575842,0.383895,-0.135941,0.042015,-0.177956,-0.120597,True,27.735609,19.665081,0.009524,0.290981,0.000484
dmavae,1,N1000_nX10_sx1,32,1000,10,1,1.624858,1.191064,0.433795,0.344432,1.693463,1.118306,0.575157,0.383438,-0.068605,0.072758,-0.141363,-0.039006,True,27.432953,19.837018,0.013772,0.276891,0.000694
dmavae,1,N1000_nX10_sx1,33,1000,10,1,1.556404,1.055161,0.501243,0.340024,1.678194,1.102825,0.575368,0.383579,-0.121790,-0.047664,-0.074126,-0.043555,True,27.555172,19.711554,0.013509,0.284651,0.000685
dmavae,1,N1000_nX10_sx1,34,1000,10,1,1.684268,1.114568,0.569700,0.433297,1.695020,1.119382,0.575637,0.383758,-0.010751,-0.004814,-0.005937,0.049539,True,27.899746,19.694269,0.010156,0.294106,0.000516
dmavae,1,N1000_nX10_sx1,35,1000,10,1,1.761231,1.138439,0.622792,0.420511,1.703573,1.127121,0.576452,0.384302,0.057658,0.011318,0.046340,0.036209,True,29.032885,19.936359,0.011285,0.313318,0.000566
dmavae,1,N1000_nX10_sx1,36,1000,10,1,1.816139,0.991807,0.824332,0.508164,1.686976,1.110477,0.576499,0.384333,0.129163,-0.118670,0.247833,0.123831,True,26.596211,19.732098,0.016734,0.258086,0.000848
dmavae,1,N1000_nX10_sx1,37,1000,10,1,1.617921,1.057467,0.560454,0.383994,1.680680,1.104866,0.575815,0.383876,-0.062759,-0.047398,-0.015361,0.000117,True,28.069518,19.853858,0.009030,0.292690,0.000455
dmavae,1,N1000_nX10_sx1,38,1000,10,1,1.827483,1.080172,0.747311,0.484674,1.698169,1.123259,0.574910,0.383273,0.129314,-0.043086,0.172401,0.101401,True,28.009534,19.862027,0.019455,0.290883,0.000980
dmavae,1,N1000_nX10_sx1,39,1000,10,1,1.610983,1.127177,0.483806,0.310439,1.690354,1.114354,0.576000,0.384000,-0.079371,0.012824,-0.092195,-0.073561,True,27.530796,19.918627,0.011579,0.276496,0.000581
dmavae,1,N1000_nX10_sx1,40,1000,10,1,1.690920,1.128607,0.562313,0.318280,1.684245,1.107743,0.576503,0.384335,0.006675,0.020865,-0.014189,-0.066055,True,28.769610,19.884884,0.010774,0.308823,0.000542
dmavae,1,N1000_nX10_sx1,41,1000,10,1,1.918687,1.344148,0.574539,0.374369,1.676463,1.099503,0.576960,0.384640,0.242224,0.244645,-0.002421,-0.010271,True,27.998727,20.137958,0.012708,0.280755,0.000631
dmavae,1,N1000_nX10_sx1,42,1000,10,1,1.757315,1.156131,0.601184,0.410640,1.702352,1.125921,0.576432,0.384288,0.054963,0.030211,0.024752,0.026352,True,27.608499,19.769265,0.011511,0.283943,0.000582
dmavae,1,N1000_nX10_sx1,43,1000,10,1,2.001476,1.450700,0.550776,0.397497,1.733532,1.157386,0.576146,0.384097,0.267944,0.293314,-0.025369,0.013400,True,27.592784,19.876669,0.008712,0.279642,0.000438
dmavae,1,N1000_nX10_sx1,44,1000,10,1,1.913791,1.221333,0.692457,0.455439,1.721858,1.145546,0.576312,0.384208,0.191933,0.075787,0.116145,0.071231,True,27.958260,19.776115,0.007272,0.292656,0.000368
dmavae,1,N1000_nX10_sx1,45,1000,10,1,1.704483,1.181881,0.522603,0.357113,1.689838,1.115298,0.574540,0.383026,0.014645,0.066582,-0.051937,-0.025914,True,27.372020,19.630634,0.010788,0.282821,0.000550
dmavae,1,N1000_nX10_sx1,46,1000,10,1,1.784573,1.281432,0.503141,0.346989,1.700956,1.125138,0.575818,0.383879,0.083617,0.156294,-0.072677,-0.036889,True,28.137674,20.014797,0.011970,0.288683,0.000598
dmavae,1,N1000_nX10_sx1,47,1000,10,1,1.765049,1.112480,0.652569,0.449371,1.723604,1.148253,0.575351,0.383567,0.041445,-0.035773,0.077218,0.065804,True,28.268994,19.587473,0.018474,0.307104,0.000943
dmavae,1,N1000_nX10_sx1,48,1000,10,1,1.608191,0.999032,0.609160,0.406313,1.713351,1.137269,0.576082,0.384054,-0.105159,-0.138237,0.033078,0.022259,True,29.017774,19.821361,0.012252,0.316923,0.000618
dmavae,1,N1000_nX10_sx1,49,1000,10,1,1.718992,1.123238,0.595754,0.369356,1.738977,1.162851,0.576126,0.384084,-0.019985,-0.039613,0.019628,-0.014728,True,27.626544,19.761710,0.012685,0.284684,0.000642
dmavae,1,N1000_nX10_sx1,50,1000,10,1,2.093787,1.149357,0.944430,0.655143,1.712892,1.135946,0.576946,0.384630,0.380895,0.013412,0.367484,0.270513,True,28.811953,19.906392,0.010152,0.309093,0.000510
dmavae,1,N1000_nX10_sx1,51,1000,10,1,1.975646,1.156827,0.818819,0.498670,1.686264,1.111522,0.574742,0.383162,0.289381,0.045305,0.244076,0.115508,True,28.306326,19.814920,0.009110,0.299983,0.000460
dmavae,1,N1000_nX10_sx1,52,1000,10,1,2.023634,1.385056,0.638577,0.432549,1.683799,1.107752,0.576047,0.384031,0.339835,0.277304,0.062530,0.048518,True,27.464895,19.929054,0.011096,0.274381,0.000557
dmavae,1,N1000_nX10_sx1,53,1000,10,1,1.665247,1.142897,0.522351,0.308103,1.689594,1.113990,0.575604,0.383736,-0.024347,0.028906,-0.053253,-0.075632,True,27.686063,19.887567,0.005293,0.281676,0.000266
dmavae,1,N1000_nX10_sx1,54,1000,10,1,1.704300,1.029086,0.675214,0.496028,1.709895,1.133501,0.576393,0.384262,-0.005594,-0.104415,0.098821,0.111765,True,28.479713,19.733512,0.012695,0.307103,0.000643
dmavae,1,N1000_nX10_sx1,55,1000,10,1,1.492301,1.002100,0.490201,0.315042,1.698324,1.122209,0.576115,0.384077,-0.206023,-0.120109,-0.085914,-0.069034,True,28.445362,19.917898,0.012666,0.299784,0.000636
dmavae,1,N1000_nX10_sx1,56,1000,10,1,1.845706,1.314078,0.531628,0.344134,1.717972,1.142562,0.575410,0.383607,0.127733,0.171516,-0.043782,-0.039473,True,28.450132,19.808177,0.006798,0.303758,0.000343
dmavae,1,N1000_nX10_sx1,57,1000,10,1,1.925985,1.196446,0.729539,0.494548,1.715553,1.140050,0.575503,0.383669,0.210432,0.056395,0.154036,0.110879,True,28.329756,19.842498,0.010343,0.299588,0.000521
dmavae,1,N1000_nX10_sx1,58,1000,10,1,2.001372,1.272644,0.728729,0.484979,1.734753,1.159422,0.575331,0.383554,0.266619,0.113222,0.153397,0.101425,True,28.739024,19.947596,0.009314,0.305906,0.000467
dmavae,1,N1000_nX10_sx1,59,1000,10,1,1.867867,1.155176,0.712691,0.480004,1.715591,1.139821,0.575769,0.383846,0.152276,0.015355,0.136921,0.096158,True,27.620868,19.806712,0.017314,0.282908,0.000874
dmavae,1,N1000_nX10_sx1,60,1000,10,1,1.472598,1.045431,0.427167,0.295875,1.693578,1.117151,0.576427,0.384284,-0.220980,-0.071720,-0.149260,-0.088410,True,26.946008,19.559146,0.013356,0.274136,0.000683
dmavae,1,N1000_nX10_sx1,61,1000,10,1,1.958739,1.339807,0.618932,0.411387,1.719874,1.144826,0.575048,0.383365,0.238866,0.194981,0.043884,0.028022,True,28.841322,19.943532,0.011970,0.308508,0.000600
dmavae,1,N1000_nX10_sx1,62,1000,10,1,2.037336,1.083902,0.953434,0.647450,1.700658,1.124838,0.575820,0.383880,0.336678,-0.040936,0.377614,0.263570,True,28.944882,19.719774,0.019625,0.318713,0.000995
dmavae,1,N1000_nX10_sx1,63,1000,10,1,1.776263,1.123614,0.652649,0.454272,1.718283,1.142791,0.575492,0.383661,0.057980,-0.019176,0.077157,0.070610,True,28.956596,19.936832,0.012769,0.311493,0.000640
dmavae,1,N1000_nX10_sx1,64,1000,10,1,2.059829,1.323299,0.736530,0.524921,1.702522,1.126449,0.576073,0.384049,0.357307,0.196850,0.160457,0.140872,True,27.343552,20.040614,0.012838,0.267081,0.000641
dmavae,1,N1000_nX10_sx1,65,1000,10,1,1.533661,1.053046,0.480615,0.273348,1.684059,1.108371,0.575688,0.383792,-0.150398,-0.055325,-0.095074,-0.110444,True,27.692975,19.853425,0.021340,0.283088,0.001075
dmavae,1,N1000_nX10_sx1,66,1000,10,1,1.707402,0.961642,0.745760,0.477820,1.703840,1.127536,0.576303,0.384202,0.003563,-0.165894,0.169457,0.093618,True,28.779160,19.859050,0.011546,0.309950,0.000581
dmavae,1,N1000_nX10_sx1,67,1000,10,1,2.128615,1.197673,0.930942,0.658669,1.691288,1.115769,0.575520,0.383680,0.437327,0.081905,0.355422,0.274989,True,28.057248,19.952466,0.011014,0.288866,0.000552
dmavae,1,N1000_nX10_sx1,68,1000,10,1,1.868478,1.074664,0.793814,0.537749,1.667921,1.092811,0.575110,0.383406,0.200557,-0.018147,0.218704,0.154342,True,27.621219,19.583472,0.012459,0.290999,0.000636
dmavae,1,N1000_nX10_sx1,69,1000,10,1,1.737964,1.235749,0.502215,0.343587,1.703537,1.128200,0.575337,0.383558,0.034427,0.107549,-0.073122,-0.039972,True,27.858489,19.768728,0.013999,0.290388,0.000708
dmavae,1,N1000_nX10_sx1,70,1000,10,1,1.805532,1.075107,0.730424,0.522271,1.717336,1.141953,0.575382,0.383588,0.088196,-0.066846,0.155042,0.138683,True,28.121700,19.862249,0.008088,0.293704,0.000407
dmavae,1,N1000_nX10_sx1,71,1000,10,1,1.724759,0.992573,0.732186,0.471054,1.700097,1.123716,0.576382,0.384255,0.024661,-0.131143,0.155804,0.086799,True,27.756818,19.788864,0.015678,0.287063,0.000792
dmavae,1,N1000_nX10_sx1,72,1000,10,1,1.996115,1.003656,0.992459,0.588009,1.688159,1.113012,0.575146,0.383431,0.307956,-0.109357,0.417313,0.204578,True,27.718535,19.697114,0.012704,0.289388,0.000645
dmavae,1,N1000_nX10_sx1,73,1000,10,1,1.687022,1.079198,0.607824,0.378424,1.692996,1.117624,0.575371,0.383581,-0.005974,-0.038427,0.032453,-0.005156,True,27.955548,19.758435,0.016093,0.293220,0.000814
dmavae,1,N1000_nX10_sx1,74,1000,10,1,1.774036,1.263758,0.510278,0.318566,1.712939,1.136594,0.576345,0.384230,0.061097,0.127164,-0.066067,-0.065664,True,29.330121,19.675271,0.013187,0.329179,0.000670
dmavae,1,N1000_nX10_sx1,75,1000,10,1,1.792818,0.988222,0.804596,0.527596,1.710099,1.134242,0.575856,0.383904,0.082719,-0.146020,0.228739,0.143692,True,28.178580,19.652634,0.008223,0.302568,0.000418
dmavae,1,N1000_nX10_sx1,76,1000,10,1,2.066910,1.337973,0.728937,0.561971,1.688917,1.114041,0.574877,0.383251,0.377993,0.223933,0.154060,0.178720,True,27.347969,19.953317,0.007382,0.270391,0.000370
dmavae,1,N1000_nX10_sx1,77,1000,10,1,1.805585,1.006438,0.799147,0.530266,1.706654,1.131671,0.574983,0.383322,0.098931,-0.125233,0.224164,0.146944,True,28.722381,19.650726,0.014525,0.315839,0.000739
dmavae,1,N1000_nX10_sx1,78,1000,10,1,1.791471,1.102321,0.689150,0.450886,1.674564,1.099118,0.575447,0.383631,0.116906,0.003203,0.113703,0.067254,True,27.797132,19.804224,0.008769,0.287544,0.000443
dmavae,1,N1000_nX10_sx1,79,1000,10,1,1.849642,1.310004,0.539639,0.339029,1.706509,1.130703,0.575806,0.383870,0.143133,0.179300,-0.036167,-0.044841,True,27.115558,19.507869,0.015307,0.280565,0.000785
dmavae,1,N1000_nX10_sx1,80,1000,10,1,1.739658,1.134736,0.604922,0.423537,1.731974,1.156039,0.575936,0.383957,0.007684,-0.021302,0.028986,0.039580,True,28.790808,19.915794,0.008298,0.308259,0.000417
dmavae,1,N1000_nX10_sx1,81,1000,10,1,1.844410,1.122409,0.722001,0.470192,1.689872,1.112941,0.576931,0.384621,0.154538,0.009468,0.145070,0.085571,True,27.680630,19.759388,0.010043,0.286166,0.000508
dmavae,1,N1000_nX10_sx1,82,1000,10,1,1.892824,1.035043,0.857781,0.561738,1.735529,1.159740,0.575789,0.383860,0.157295,-0.124697,0.281991,0.177879,True,28.126534,19.816311,0.009579,0.295458,0.000483
dmavae,1,N1000_nX10_sx1,83,1000,10,1,1.808760,1.298573,0.510187,0.377503,1.695506,1.119295,0.576211,0.384141,0.113255,0.179278,-0.066024,-0.006638,True,26.893394,19.831180,0.008781,0.262600,0.000443
dmavae,1,N1000_nX10_sx1,84,1000,10,1,2.072667,1.206085,0.866582,0.588391,1.687489,1.111854,0.575635,0.383757,0.385178,0.094231,0.290947,0.204635,True,28.118580,19.910422,0.005621,0.291912,0.000282
dmavae,1,N1000_nX10_sx1,85,1000,10,1,1.794781,1.011258,0.783523,0.591552,1.708999,1.133735,0.575264,0.383510,0.085782,-0.122476,0.208258,0.208043,True,27.949770,19.636960,0.009448,0.297420,0.000481
dmavae,1,N1000_nX10_sx1,86,1000,10,1,1.740239,0.974277,0.765961,0.484417,1.696254,1.120209,0.576045,0.384030,0.043985,-0.145932,0.189917,0.100387,True,28.127142,19.779199,0.014077,0.296793,0.000712
dmavae,1,N1000_nX10_sx1,87,1000,10,1,1.766396,1.185728,0.580668,0.387752,1.720236,1.144747,0.575489,0.383659,0.046160,0.040981,0.005179,0.004093,True,27.908131,19.825049,0.010043,0.289632,0.000507
dmavae,1,N1000_nX10_sx1,88,1000,10,1,2.133897,1.375909,0.757987,0.474424,1.724735,1.148881,0.575854,0.383903,0.409162,0.227029,0.182133,0.090521,True,27.824865,19.954100,0.006940,0.282868,0.000348
dmavae,1,N1000_nX10_sx1,89,1000,10,1,1.693866,1.024248,0.669617,0.428113,1.693820,1.117800,0.576019,0.384013,0.000046,-0.093552,0.093598,0.044100,True,28.088866,19.948112,0.020974,0.289821,0.001051
dmavae,1,N1000_nX10_sx1,90,1000,10,1,1.790489,1.228821,0.561668,0.378630,1.713452,1.138870,0.574582,0.383055,0.077037,0.089951,-0.012914,-0.004425,True,27.815679,19.865454,0.008233,0.285818,0.000414
