method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
dml_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.529730,1.186827,0.973333,0.556398,0.342903,1.670250,1.286532,1.094672,0.575578,0.383719,-0.140520,-0.099704,-0.121340,-0.019180,-0.040816
dml_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.635642,1.308397,1.123995,0.511646,0.327245,1.697492,1.314050,1.122329,0.575163,0.383442,-0.061850,-0.005653,0.001667,-0.063517,-0.056197
dml_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.613801,1.264996,1.080784,0.533017,0.348805,1.715386,1.331207,1.139117,0.576269,0.384179,-0.101585,-0.066211,-0.058333,-0.043252,-0.035374
dml_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.655651,1.237198,1.117049,0.538602,0.418453,1.684827,1.301276,1.109500,0.575326,0.383551,-0.029176,-0.064078,0.007548,-0.036724,0.034902
dml_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.715326,1.301435,1.109081,0.606245,0.413891,1.703350,1.319741,1.127937,0.575413,0.383609,0.011976,-0.018306,-0.018855,0.030831,0.030282
dml_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.753693,1.325820,1.141470,0.612222,0.427873,1.702184,1.318013,1.125928,0.576255,0.384170,0.051509,0.007806,0.015542,0.035967,0.043703
dml_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.685696,1.354436,1.229407,0.456290,0.331260,1.694767,1.310704,1.118672,0.576095,0.384063,-0.009071,0.043733,0.110735,-0.119806,-0.052803
dml_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.870099,1.393474,1.122429,0.747670,0.476626,1.723398,1.340280,1.148721,0.574678,0.383118,0.146701,0.053194,-0.026292,0.172993,0.093507
dml_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.673961,1.312845,1.130797,0.543163,0.361116,1.694574,1.311132,1.119411,0.575163,0.383442,-0.020613,0.001713,0.011387,-0.032000,-0.022326
dml_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.729131,1.339562,1.220921,0.508210,0.389569,1.723644,1.339503,1.147433,0.576210,0.384140,0.005487,0.000059,0.073487,-0.068000,0.005429
dml_proxyX,1,N1000_nX10_sx1,11,1000,10,1,1.477498,1.213366,1.133416,0.344082,0.264132,1.716903,1.332897,1.140895,0.576008,0.384006,-0.239405,-0.119531,-0.007479,-0.231926,-0.119874
dml_proxyX,1,N1000_nX10_sx1,12,1000,10,1,1.643862,1.310009,1.080713,0.563149,0.333853,1.705487,1.321772,1.129915,0.575573,0.383715,-0.061625,-0.011763,-0.049202,-0.012424,-0.049862
dml_proxyX,1,N1000_nX10_sx1,13,1000,10,1,1.845943,1.424683,1.200935,0.645008,0.421261,1.694321,1.310057,1.117925,0.576396,0.384264,0.151623,0.114626,0.083010,0.068612,0.036996
dml_proxyX,1,N1000_nX10_sx1,14,1000,10,1,1.734560,1.292804,1.101864,0.632696,0.441755,1.659156,1.275646,1.083891,0.575264,0.383510,0.075404,0.017158,0.017972,0.057431,0.058245
dml_proxyX,1,N1000_nX10_sx1,15,1000,10,1,1.578807,1.268307,1.084708,0.494099,0.310501,1.711819,1.327763,1.135735,0.576084,0.384056,-0.133012,-0.059456,-0.051027,-0.081985,-0.073555
dml_proxyX,1,N1000_nX10_sx1,16,1000,10,1,1.641356,1.332836,1.147723,0.493633,0.308520,1.703116,1.318771,1.126599,0.576517,0.384344,-0.061760,0.014065,0.021124,-0.082884,-0.075825
dml_proxyX,1,N1000_nX10_sx1,17,1000,10,1,1.436926,1.109023,0.981653,0.455274,0.327903,1.691940,1.307948,1.115951,0.575989,0.383993,-0.255014,-0.198924,-0.134299,-0.120715,-0.056090
dml_proxyX,1,N1000_nX10_sx1,18,1000,10,1,1.495963,1.136809,0.956101,0.539862,0.359154,1.714513,1.330315,1.138216,0.576297,0.384198,-0.218550,-0.193506,-0.182115,-0.036435,-0.025044
dml_proxyX,1,N1000_nX10_sx1,19,1000,10,1,1.676729,1.298649,1.166074,0.510655,0.378080,1.675652,1.292104,1.100330,0.575323,0.383548,0.001077,0.006545,0.065745,-0.064668,-0.005468
