method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
dml_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.606740,1.244019,1.050661,0.556079,0.362721,1.670250,1.286532,1.094672,0.575578,0.383719,-0.063510,-0.042512,-0.044012,-0.019499,-0.020998
dml_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.764590,1.385590,1.236076,0.528514,0.379001,1.697492,1.314050,1.122329,0.575163,0.383442,0.067099,0.071540,0.113747,-0.046649,-0.004441
dml_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.701196,1.253677,1.001477,0.699719,0.447519,1.715386,1.331207,1.139117,0.576269,0.384179,-0.014190,-0.077530,-0.137640,0.123450,0.063340
dml_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.689589,1.262989,1.077621,0.611968,0.426600,1.684827,1.301276,1.109500,0.575326,0.383551,0.004762,-0.038287,-0.031879,0.036641,0.043049
dml_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.740801,1.357047,1.122093,0.618707,0.383754,1.703350,1.319741,1.127937,0.575413,0.383609,0.037450,0.037306,-0.005844,0.043294,0.000145
dml_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.792751,1.408177,1.184291,0.608460,0.384574,1.702184,1.318013,1.125928,0.576255,0.384170,0.090567,0.090163,0.058363,0.032204,0.000404
dml_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.723617,1.374291,1.226573,0.497044,0.349326,1.694767,1.310704,1.118672,0.576095,0.384063,0.028850,0.063587,0.107901,-0.079051,-0.034737
dml_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.969963,1.440740,1.171229,0.798734,0.529223,1.723398,1.340280,1.148721,0.574678,0.383118,0.246565,0.100460,0.022508,0.224057,0.146104
dml_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.784174,1.396851,1.172402,0.611772,0.387323,1.694574,1.311132,1.119411,0.575163,0.383442,0.089600,0.085719,0.052991,0.036609,0.003881
dml_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.755206,1.340037,1.243576,0.511631,0.415169,1.723644,1.339503,1.147433,0.576210,0.384140,0.031563,0.000534,0.096142,-0.064580,0.031029
dml_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.466766,1.201043,1.065328,0.401438,0.265723,1.716903,1.332897,1.140895,0.576008,0.384006,-0.250137,-0.131854,-0.075567,-0.174570,-0.118283
dml_oracleZ,1,N1000_nX10_sx1,12,1000,10,1,1.667882,1.306244,1.105387,0.562495,0.361639,1.705487,1.321772,1.129915,0.575573,0.383715,-0.037605,-0.015528,-0.024527,-0.013077,-0.022076
dml_oracleZ,1,N1000_nX10_sx1,13,1000,10,1,1.844496,1.403446,1.212125,0.632371,0.441051,1.694321,1.310057,1.117925,0.576396,0.384264,0.150176,0.093389,0.094201,0.055975,0.056787
dml_oracleZ,1,N1000_nX10_sx1,14,1000,10,1,1.769201,1.319448,1.110925,0.658276,0.449753,1.659156,1.275646,1.083891,0.575264,0.383510,0.110045,0.043802,0.027034,0.083011,0.066243
dml_oracleZ,1,N1000_nX10_sx1,15,1000,10,1,1.686210,1.310739,1.126676,0.559533,0.375470,1.711819,1.327763,1.135735,0.576084,0.384056,-0.025609,-0.017024,-0.009059,-0.016551,-0.008586
dml_oracleZ,1,N1000_nX10_sx1,16,1000,10,1,1.688623,1.379805,1.136712,0.551911,0.308818,1.703116,1.318771,1.126599,0.576517,0.384344,-0.014493,0.061033,0.010112,-0.024605,-0.075526
dml_oracleZ,1,N1000_nX10_sx1,17,1000,10,1,1.498652,1.158306,1.041247,0.457405,0.340346,1.691940,1.307948,1.115951,0.575989,0.383993,-0.193288,-0.149641,-0.074704,-0.118584,-0.043647
