method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_i_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.532717,1.192823,0.996594,0.536123,0.339894,1.670250,1.286532,1.094672,0.575578,0.383719,-0.137534,-0.093709,-0.098078,-0.039455,-0.043824
lsem_i_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.655111,1.307123,1.146221,0.508890,0.347988,1.697492,1.314050,1.122329,0.575163,0.383442,-0.042380,-0.006926,0.023893,-0.066273,-0.035454
lsem_i_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.591370,1.216229,1.046589,0.544781,0.375141,1.715386,1.331207,1.139117,0.576269,0.384179,-0.124016,-0.114977,-0.092528,-0.031487,-0.009038
lsem_i_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.647929,1.249924,1.094966,0.552963,0.398005,1.684827,1.301276,1.109500,0.575326,0.383551,-0.036898,-0.051352,-0.014534,-0.022364,0.014454
lsem_i_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.701753,1.302632,1.084617,0.617136,0.399121,1.703350,1.319741,1.127937,0.575413,0.383609,-0.001597,-0.017109,-0.043320,0.041722,0.015512
lsem_i_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.738780,1.324082,1.106126,0.632655,0.414698,1.702184,1.318013,1.125928,0.576255,0.384170,0.036597,0.006069,-0.019803,0.056399,0.030528
lsem_i_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.683836,1.349396,1.183265,0.500571,0.334440,1.694767,1.310704,1.118672,0.576095,0.384063,-0.010931,0.038693,0.064593,-0.075524,-0.049623
lsem_i_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.848166,1.397389,1.125730,0.722436,0.450777,1.723398,1.340280,1.148721,0.574678,0.383118,0.124768,0.057109,-0.022991,0.147759,0.067659
lsem_i_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.703414,1.330700,1.169959,0.533455,0.372714,1.694574,1.311132,1.119411,0.575163,0.383442,0.008840,0.019568,0.050548,-0.041708,-0.010728
lsem_i_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.726506,1.355084,1.221131,0.505375,0.371421,1.723644,1.339503,1.147433,0.576210,0.384140,0.002862,0.015581,0.073698,-0.070836,-0.012719
