method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_i_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.614632,1.263854,1.063582,0.551050,0.350778,1.670250,1.286532,1.094672,0.575578,0.383719,-0.055618,-0.022678,-0.031090,-0.024528,-0.032941
lsem_i_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.778811,1.407276,1.233779,0.545032,0.371535,1.697492,1.314050,1.122329,0.575163,0.383442,0.081320,0.093227,0.111450,-0.030131,-0.011907
lsem_i_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.711152,1.250297,1.045032,0.666120,0.460855,1.715386,1.331207,1.139117,0.576269,0.384179,-0.004234,-0.080910,-0.094085,0.089851,0.076676
lsem_i_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.708857,1.265947,1.091355,0.617502,0.442910,1.684827,1.301276,1.109500,0.575326,0.383551,0.024030,-0.035328,-0.018146,0.042176,0.059359
lsem_i_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.739040,1.333361,1.104688,0.634353,0.405679,1.703350,1.319741,1.127937,0.575413,0.383609,0.035690,0.013620,-0.023249,0.058939,0.022070
lsem_i_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.823306,1.405324,1.165392,0.657915,0.417982,1.702184,1.318013,1.125928,0.576255,0.384170,0.121123,0.087311,0.039463,0.081659,0.033812
lsem_i_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.728173,1.380479,1.191316,0.536857,0.347694,1.694767,1.310704,1.118672,0.576095,0.384063,0.033406,0.069775,0.072644,-0.039238,-0.036369
lsem_i_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.934983,1.443475,1.168552,0.766432,0.491508,1.723398,1.340280,1.148721,0.574678,0.383118,0.211585,0.103195,0.019831,0.191754,0.108390
lsem_i_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.789920,1.387509,1.198151,0.591769,0.402411,1.694574,1.311132,1.119411,0.575163,0.383442,0.095346,0.076377,0.078740,0.016606,0.018969
lsem_i_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.804376,1.391864,1.248127,0.556249,0.412512,1.723644,1.339503,1.147433,0.576210,0.384140,0.080732,0.052361,0.100694,-0.019962,0.028372
lsem_i_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.487254,1.218899,1.072978,0.414276,0.268355,1.716903,1.332897,1.140895,0.576008,0.384006,-0.229649,-0.113999,-0.067916,-0.161733,-0.115650
lsem_i_oracleZ,1,N1000_nX10_sx1,12,1000,10,1,1.657248,1.308140,1.099400,0.557848,0.349107,1.705487,1.321772,1.129915,0.575573,0.383715,-0.048239,-0.013632,-0.030515,-0.017725,-0.034608
lsem_i_oracleZ,1,N1000_nX10_sx1,13,1000,10,1,1.868168,1.453435,1.208149,0.660020,0.414733,1.694321,1.310057,1.117925,0.576396,0.384264,0.173847,0.143379,0.090224,0.083623,0.030469
lsem_i_oracleZ,1,N1000_nX10_sx1,14,1000,10,1,1.760465,1.314129,1.132270,0.628195,0.446336,1.659156,1.275646,1.083891,0.575264,0.383510,0.101309,0.038483,0.048379,0.052930,0.062826
lsem_i_oracleZ,1,N1000_nX10_sx1,15,1000,10,1,1.656824,1.289885,1.111223,0.545600,0.366939,1.711819,1.327763,1.135735,0.576084,0.384056,-0.054995,-0.037878,-0.024512,-0.030484,-0.017117
lsem_i_oracleZ,1,N1000_nX10_sx1,16,1000,10,1,1.692058,1.363957,1.134306,0.557752,0.328101,1.703116,1.318771,1.126599,0.576517,0.384344,-0.011058,0.045186,0.007707,-0.018765,-0.056243
lsem_i_oracleZ,1,N1000_nX10_sx1,17,1000,10,1,1.540162,1.186852,1.035851,0.504311,0.353310,1.691940,1.307948,1.115951,0.575989,0.383993,-0.151778,-0.121096,-0.080100,-0.071678,-0.030682
lsem_i_oracleZ,1,N1000_nX10_sx1,18,1000,10,1,1.526391,1.176108,1.030355,0.496036,0.350282,1.714513,1.330315,1.138216,0.576297,0.384198,-0.188123,-0.154207,-0.107861,-0.080262,-0.033916
lsem_i_oracleZ,1,N1000_nX10_sx1,19,1000,10,1,1.701682,1.272334,1.101599,0.600083,0.429348,1.675652,1.292104,1.100330,0.575323,0.383548,0.026030,-0.019770,0.001270,0.024760,0.045800
lsem_i_oracleZ,1,N1000_nX10_sx1,20,1000,10,1,1.744818,1.368676,1.165110,0.579707,0.376142,1.719025,1.335229,1.143331,0.575694,0.383796,0.025793,0.033447,0.021780,0.004013,-0.007654
lsem_i_oracleZ,1,N1000_nX10_sx1,21,1000,10,1,1.811239,1.415000,1.236849,0.574390,0.396239,1.714574,1.330630,1.138658,0.575916,0.383944,0.096665,0.084370,0.098191,-0.001526,0.012295
lsem_i_oracleZ,1,N1000_nX10_sx1,22,1000,10,1,1.630838,1.230196,0.998537,0.632301,0.400642,1.706133,1.322573,1.130792,0.575340,0.383560,-0.075295,-0.092377,-0.132256,0.056961,0.017082
lsem_i_oracleZ,1,N1000_nX10_sx1,23,1000,10,1,1.858429,1.366884,1.144998,0.713432,0.491545,1.710606,1.326769,1.134851,0.575755,0.383837,0.147823,0.040115,0.010147,0.137676,0.107708
lsem_i_oracleZ,1,N1000_nX10_sx1,24,1000,10,1,1.685739,1.317125,1.112156,0.573582,0.368614,1.672889,1.288824,1.096791,0.576098,0.384065,0.012849,0.028301,0.015365,-0.002516,-0.015452
lsem_i_oracleZ,1,N1000_nX10_sx1,25,1000,10,1,1.827281,1.355779,1.123334,0.703947,0.471502,1.712532,1.329639,1.138192,0.574340,0.382894,0.114749,0.026140,-0.014858,0.129607,0.088609
lsem_i_oracleZ,1,N1000_nX10_sx1,26,1000,10,1,1.871635,1.398875,1.206933,0.664702,0.472759,1.721315,1.338014,1.146363,0.574952,0.383302,0.150319,0.060862,0.060570,0.089749,0.089458
lsem_i_oracleZ,1,N1000_nX10_sx1,27,1000,10,1,1.759604,1.300578,1.049191,0.710413,0.459027,1.723220,1.339171,1.147147,0.576073,0.384048,0.036385,-0.038593,-0.097956,0.134340,0.074978
lsem_i_oracleZ,1,N1000_nX10_sx1,28,1000,10,1,1.878449,1.382549,1.199259,0.679189,0.495899,1.709716,1.325519,1.133421,0.576295,0.384197,0.168733,0.057030,0.065838,0.102894,0.111703
lsem_i_oracleZ,1,N1000_nX10_sx1,29,1000,10,1,1.761406,1.389271,1.272932,0.488474,0.372135,1.671674,1.287683,1.095688,0.575986,0.383991,0.089732,0.101587,0.177244,-0.087512,-0.011856
lsem_i_oracleZ,1,N1000_nX10_sx1,30,1000,10,1,1.654016,1.244041,1.001625,0.652391,0.409975,1.711242,1.327946,1.136297,0.574944,0.383296,-0.057226,-0.083904,-0.134673,0.077447,0.026678
lsem_i_oracleZ,1,N1000_nX10_sx1,31,1000,10,1,1.411168,1.207012,1.101679,0.309489,0.204156,1.701806,1.317911,1.125964,0.575842,0.383895,-0.290637,-0.110899,-0.024285,-0.266353,-0.179739
lsem_i_oracleZ,1,N1000_nX10_sx1,32,1000,10,1,1.570913,1.232204,1.112812,0.458100,0.338708,1.693463,1.310025,1.118306,0.575157,0.383438,-0.122551,-0.077821,-0.005493,-0.117057,-0.044730
lsem_i_oracleZ,1,N1000_nX10_sx1,33,1000,10,1,1.552990,1.201717,1.035562,0.517428,0.351273,1.678194,1.294615,1.102825,0.575368,0.383579,-0.125203,-0.092897,-0.067263,-0.057940,-0.032306
lsem_i_oracleZ,1,N1000_nX10_sx1,34,1000,10,1,1.568295,1.224172,1.069983,0.498312,0.344123,1.695020,1.311261,1.119382,0.575637,0.383758,-0.126724,-0.087089,-0.049399,-0.077325,-0.039635
lsem_i_oracleZ,1,N1000_nX10_sx1,35,1000,10,1,1.703090,1.366415,1.203772,0.499318,0.336675,1.703573,1.319272,1.127121,0.576452,0.384302,-0.000483,0.047143,0.076652,-0.077135,-0.047626
lsem_i_oracleZ,1,N1000_nX10_sx1,36,1000,10,1,1.720207,1.300998,1.064066,0.656141,0.419209,1.686976,1.302644,1.110477,0.576499,0.384333,0.033231,-0.001646,-0.046411,0.079642,0.034877
lsem_i_oracleZ,1,N1000_nX10_sx1,37,1000,10,1,1.663294,1.268069,1.105966,0.557328,0.395225,1.680680,1.296804,1.104866,0.575815,0.383876,-0.017386,-0.028735,0.001100,-0.018486,0.011349
lsem_i_oracleZ,1,N1000_nX10_sx1,38,1000,10,1,1.745591,1.318498,1.097233,0.648358,0.427093,1.698169,1.314896,1.123259,0.574910,0.383273,0.047422,0.003602,-0.026026,0.073448,0.043820
lsem_i_oracleZ,1,N1000_nX10_sx1,39,1000,10,1,1.554390,1.271319,1.123988,0.430402,0.283071,1.690354,1.306354,1.114354,0.576000,0.384000,-0.135963,-0.035035,0.009634,-0.145598,-0.100929
lsem_i_oracleZ,1,N1000_nX10_sx1,40,1000,10,1,1.667843,1.381886,1.212957,0.454885,0.285956,1.684245,1.299910,1.107743,0.576503,0.384335,-0.016403,0.081976,0.105214,-0.121617,-0.098379
lsem_i_oracleZ,1,N1000_nX10_sx1,41,1000,10,1,1.738309,1.355065,1.162015,0.576294,0.383244,1.676463,1.291823,1.099503,0.576960,0.384640,0.061845,0.063242,0.062512,-0.000666,-0.001396
lsem_i_oracleZ,1,N1000_nX10_sx1,42,1000,10,1,1.632064,1.304777,1.134647,0.497417,0.327287,1.702352,1.318065,1.125921,0.576432,0.384288,-0.070289,-0.013288,0.008726,-0.079015,-0.057001
lsem_i_oracleZ,1,N1000_nX10_sx1,43,1000,10,1,1.656722,1.367214,1.213347,0.443375,0.289508,1.733532,1.349435,1.157386,0.576146,0.384097,-0.076809,0.017779,0.055961,-0.132771,-0.094589
lsem_i_oracleZ,1,N1000_nX10_sx1,44,1000,10,1,1.845976,1.450295,1.265058,0.580919,0.395681,1.721858,1.337650,1.145546,0.576312,0.384208,0.124118,0.112645,0.119512,0.004606,0.011473
lsem_i_oracleZ,1,N1000_nX10_sx1,45,1000,10,1,1.615796,1.292155,1.126961,0.488835,0.323641,1.689838,1.306812,1.115298,0.574540,0.383026,-0.074042,-0.014657,0.011663,-0.085704,-0.059385
lsem_i_oracleZ,1,N1000_nX10_sx1,46,1000,10,1,1.581091,1.279429,1.119410,0.461680,0.301662,1.700956,1.317077,1.125138,0.575818,0.383879,-0.119865,-0.037649,-0.005728,-0.114137,-0.082217
lsem_i_oracleZ,1,N1000_nX10_sx1,47,1000,10,1,1.696458,1.347842,1.185525,0.510932,0.348616,1.723604,1.340037,1.148253,0.575351,0.383567,-0.027147,0.007805,0.037272,-0.064419,-0.034952
lsem_i_oracleZ,1,N1000_nX10_sx1,48,1000,10,1,1.712816,1.311511,1.068365,0.644451,0.401306,1.713351,1.329296,1.137269,0.576082,0.384054,-0.000535,-0.017786,-0.068904,0.068370,0.017251
lsem_i_oracleZ,1,N1000_nX10_sx1,49,1000,10,1,1.707352,1.388394,1.220401,0.486950,0.318958,1.738977,1.354893,1.162851,0.576126,0.384084,-0.031625,0.033501,0.057550,-0.089176,-0.065126
lsem_i_oracleZ,1,N1000_nX10_sx1,50,1000,10,1,2.035176,1.497077,1.265118,0.770058,0.538099,1.712892,1.328261,1.135946,0.576946,0.384630,0.322285,0.168816,0.129172,0.193112,0.153468
lsem_i_oracleZ,1,N1000_nX10_sx1,51,1000,10,1,1.778638,1.290026,1.039643,0.738995,0.488612,1.686264,1.303103,1.111522,0.574742,0.383162,0.092374,-0.013077,-0.071879,0.164253,0.105450
lsem_i_oracleZ,1,N1000_nX10_sx1,52,1000,10,1,1.700268,1.320117,1.129040,0.571227,0.380150,1.683799,1.299768,1.107752,0.576047,0.384031,0.016468,0.020350,0.021288,-0.004820,-0.003881
lsem_i_oracleZ,1,N1000_nX10_sx1,53,1000,10,1,1.603342,1.277780,1.087083,0.516259,0.325562,1.689594,1.305858,1.113990,0.575604,0.383736,-0.086252,-0.028079,-0.026907,-0.059345,-0.058174
lsem_i_oracleZ,1,N1000_nX10_sx1,54,1000,10,1,1.721280,1.293509,1.128273,0.593007,0.427771,1.709895,1.325633,1.133501,0.576393,0.384262,0.011385,-0.032123,-0.005229,0.016614,0.043509
lsem_i_oracleZ,1,N1000_nX10_sx1,55,1000,10,1,1.591229,1.284855,1.125612,0.465617,0.306373,1.698324,1.314247,1.122209,0.576115,0.384077,-0.107095,-0.029392,0.003403,-0.110498,-0.077703
lsem_i_oracleZ,1,N1000_nX10_sx1,56,1000,10,1,1.757788,1.428498,1.277654,0.480134,0.329291,1.717972,1.334365,1.142562,0.575410,0.383607,0.039816,0.094132,0.135092,-0.095276,-0.054316
lsem_i_oracleZ,1,N1000_nX10_sx1,57,1000,10,1,1.780415,1.318831,1.121546,0.658869,0.461584,1.715553,1.331885,1.140050,0.575503,0.383669,0.064861,-0.013054,-0.018504,0.083366,0.077915
lsem_i_oracleZ,1,N1000_nX10_sx1,58,1000,10,1,1.780894,1.319447,1.135865,0.645029,0.461447,1.734753,1.351199,1.159422,0.575331,0.383554,0.046141,-0.031751,-0.023557,0.069698,0.077893
lsem_i_oracleZ,1,N1000_nX10_sx1,59,1000,10,1,1.747614,1.318790,1.113737,0.633877,0.428824,1.715591,1.331744,1.139821,0.575769,0.383846,0.032023,-0.012954,-0.026085,0.058108,0.044977
lsem_i_oracleZ,1,N1000_nX10_sx1,60,1000,10,1,1.488583,1.214366,1.091515,0.397068,0.274217,1.693578,1.309293,1.117151,0.576427,0.384284,-0.204995,-0.094928,-0.025636,-0.179358,-0.110067
lsem_i_oracleZ,1,N1000_nX10_sx1,61,1000,10,1,1.797618,1.407916,1.227954,0.569663,0.389702,1.719874,1.336508,1.144826,0.575048,0.383365,0.077744,0.071407,0.083129,-0.005384,0.006337
lsem_i_oracleZ,1,N1000_nX10_sx1,62,1000,10,1,1.941051,1.384901,1.154590,0.786461,0.556150,1.700658,1.316778,1.124838,0.575820,0.383880,0.240394,0.068123,0.029753,0.210641,0.172271
lsem_i_oracleZ,1,N1000_nX10_sx1,63,1000,10,1,1.649351,1.220845,1.021404,0.627947,0.428506,1.718283,1.334621,1.142791,0.575492,0.383661,-0.068932,-0.113777,-0.121386,0.052455,0.044845
lsem_i_oracleZ,1,N1000_nX10_sx1,64,1000,10,1,1.780787,1.345189,1.118106,0.662680,0.435598,1.702522,1.318473,1.126449,0.576073,0.384049,0.078265,0.026716,-0.008343,0.086607,0.051549
lsem_i_oracleZ,1,N1000_nX10_sx1,65,1000,10,1,1.510520,1.250197,1.096353,0.414167,0.260322,1.684059,1.300267,1.108371,0.575688,0.383792,-0.173539,-0.050069,-0.012018,-0.161521,-0.123470
lsem_i_oracleZ,1,N1000_nX10_sx1,66,1000,10,1,1.640038,1.214692,1.025883,0.614155,0.425346,1.703840,1.319637,1.127536,0.576303,0.384202,-0.063801,-0.104945,-0.101653,0.037852,0.041144
lsem_i_oracleZ,1,N1000_nX10_sx1,67,1000,10,1,1.869927,1.270318,0.989302,0.880624,0.599609,1.691288,1.307608,1.115769,0.575520,0.383680,0.178638,-0.037291,-0.126466,0.305104,0.215929
lsem_i_oracleZ,1,N1000_nX10_sx1,68,1000,10,1,1.792346,1.309235,1.086994,0.705352,0.483112,1.667921,1.284514,1.092811,0.575110,0.383406,0.124426,0.024720,-0.005817,0.130243,0.099705
lsem_i_oracleZ,1,N1000_nX10_sx1,69,1000,10,1,1.580864,1.314240,1.186074,0.394790,0.266625,1.703537,1.319979,1.128200,0.575337,0.383558,-0.122673,-0.005739,0.057874,-0.180547,-0.116934
lsem_i_oracleZ,1,N1000_nX10_sx1,70,1000,10,1,1.799104,1.404499,1.231131,0.567973,0.394604,1.717336,1.333748,1.141953,0.575382,0.383588,0.081768,0.070752,0.089177,-0.007409,0.011016
lsem_i_oracleZ,1,N1000_nX10_sx1,71,1000,10,1,1.826868,1.354554,1.138059,0.688809,0.472313,1.700097,1.315843,1.123716,0.576382,0.384255,0.126771,0.038712,0.014344,0.112427,0.088059
lsem_i_oracleZ,1,N1000_nX10_sx1,72,1000,10,1,1.786402,1.334021,1.026997,0.759405,0.452381,1.688159,1.304728,1.113012,0.575146,0.383431,0.098243,0.029293,-0.086016,0.184258,0.068950
lsem_i_oracleZ,1,N1000_nX10_sx1,73,1000,10,1,1.663048,1.290640,1.091714,0.571333,0.372408,1.692996,1.309415,1.117624,0.575371,0.383581,-0.029948,-0.018775,-0.025910,-0.004038,-0.011173
lsem_i_oracleZ,1,N1000_nX10_sx1,74,1000,10,1,1.709863,1.388021,1.234823,0.475040,0.321842,1.712939,1.328709,1.136594,0.576345,0.384230,-0.003076,0.059312,0.098229,-0.101305,-0.062388
lsem_i_oracleZ,1,N1000_nX10_sx1,75,1000,10,1,1.644168,1.222201,0.998328,0.645840,0.421967,1.710099,1.326194,1.134242,0.575856,0.383904,-0.065931,-0.103994,-0.135914,0.069983,0.038063
lsem_i_oracleZ,1,N1000_nX10_sx1,76,1000,10,1,1.782763,1.337848,1.144841,0.637923,0.444915,1.688917,1.305666,1.114041,0.574877,0.383251,0.093846,0.032182,0.030800,0.063046,0.061664
lsem_i_oracleZ,1,N1000_nX10_sx1,77,1000,10,1,1.797315,1.304480,1.076030,0.721285,0.492834,1.706654,1.323332,1.131671,0.574983,0.383322,0.090661,-0.018851,-0.055640,0.146302,0.109512
lsem_i_oracleZ,1,N1000_nX10_sx1,78,1000,10,1,1.642616,1.333200,1.170142,0.472473,0.309416,1.674564,1.290933,1.099118,0.575447,0.383631,-0.031949,0.042266,0.071025,-0.102973,-0.074215
lsem_i_oracleZ,1,N1000_nX10_sx1,79,1000,10,1,1.764207,1.437095,1.260596,0.503612,0.327112,1.706509,1.322638,1.130703,0.575806,0.383870,0.057698,0.114457,0.129892,-0.072194,-0.056758
lsem_i_oracleZ,1,N1000_nX10_sx1,80,1000,10,1,1.628202,1.338632,1.189220,0.438982,0.289570,1.731974,1.348017,1.156039,0.575936,0.383957,-0.103772,-0.009385,0.033181,-0.136954,-0.094387
lsem_i_oracleZ,1,N1000_nX10_sx1,81,1000,10,1,1.861410,1.397607,1.151091,0.710319,0.463802,1.689872,1.305251,1.112941,0.576931,0.384621,0.171538,0.092356,0.038150,0.133388,0.079181
lsem_i_oracleZ,1,N1000_nX10_sx1,82,1000,10,1,1.749857,1.298654,1.089868,0.659990,0.451203,1.735529,1.351669,1.159740,0.575789,0.383860,0.014328,-0.053015,-0.069872,0.084200,0.067343
lsem_i_oracleZ,1,N1000_nX10_sx1,83,1000,10,1,1.418629,1.104683,0.962510,0.456118,0.313946,1.695506,1.311365,1.119295,0.576211,0.384141,-0.276877,-0.206682,-0.156785,-0.120092,-0.070195
lsem_i_oracleZ,1,N1000_nX10_sx1,84,1000,10,1,1.908945,1.466564,1.237048,0.671897,0.442381,1.687489,1.303732,1.111854,0.575635,0.383757,0.221456,0.162832,0.125194,0.096262,0.058624
lsem_i_oracleZ,1,N1000_nX10_sx1,85,1000,10,1,1.753391,1.270393,1.095337,0.658054,0.482998,1.708999,1.325489,1.133735,0.575264,0.383510,0.044392,-0.055096,-0.038397,0.082789,0.099488
lsem_i_oracleZ,1,N1000_nX10_sx1,86,1000,10,1,1.849988,1.365921,1.130012,0.719976,0.484067,1.696254,1.312224,1.120209,0.576045,0.384030,0.153734,0.053697,0.009803,0.143931,0.100037
lsem_i_oracleZ,1,N1000_nX10_sx1,87,1000,10,1,1.692844,1.289244,1.116139,0.576705,0.403600,1.720236,1.336577,1.144747,0.575489,0.383659,-0.027392,-0.047333,-0.028608,0.001216,0.019941
lsem_i_oracleZ,1,N1000_nX10_sx1,88,1000,10,1,1.812452,1.349404,1.098298,0.714155,0.463049,1.724735,1.340832,1.148881,0.575854,0.383903,0.087718,0.008572,-0.050583,0.138301,0.079146
