method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.615064,1.160527,1.160527,0.454537,0.454537,1.670250,1.286532,1.094672,0.575578,0.383719,-0.055187,-0.126005,0.065854,-0.121041,0.070818
lsem_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.770901,1.311170,1.311170,0.459731,0.459731,1.697492,1.314050,1.122329,0.575163,0.383442,0.073409,-0.002879,0.188842,-0.115432,0.076289
lsem_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.712429,1.158283,1.158283,0.554147,0.554147,1.715386,1.331207,1.139117,0.576269,0.384179,-0.002957,-0.172924,0.019166,-0.022122,0.169967
lsem_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.706732,1.171452,1.171452,0.535280,0.535280,1.684827,1.301276,1.109500,0.575326,0.383551,0.021906,-0.129824,0.061952,-0.040046,0.151730
lsem_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.739271,1.224761,1.224761,0.514510,0.514510,1.703350,1.319741,1.127937,0.575413,0.383609,0.035921,-0.094980,0.096824,-0.060904,0.130901
lsem_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.823507,1.273948,1.273948,0.549559,0.549559,1.702184,1.318013,1.125928,0.576255,0.384170,0.121324,-0.044065,0.148020,-0.026696,0.165389
lsem_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.728828,1.283454,1.283454,0.445374,0.445374,1.694767,1.310704,1.118672,0.576095,0.384063,0.034061,-0.027250,0.164782,-0.130721,0.061311
lsem_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.937337,1.311032,1.311032,0.626306,0.626306,1.723398,1.340280,1.148721,0.574678,0.383118,0.213939,-0.029248,0.162311,0.051628,0.243187
lsem_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.789862,1.290571,1.290571,0.499291,0.499291,1.694574,1.311132,1.119411,0.575163,0.383442,0.095288,-0.020560,0.171161,-0.075872,0.115849
lsem_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.798553,1.320986,1.320986,0.477567,0.477567,1.723644,1.339503,1.147433,0.576210,0.384140,0.074909,-0.018517,0.173553,-0.098644,0.093426
lsem_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.491458,1.147967,1.147967,0.343492,0.343492,1.716903,1.332897,1.140895,0.576008,0.384006,-0.225444,-0.184930,0.007072,-0.232517,-0.040514
lsem_oracleZ,1,N1000_nX10_sx1,12,1000,10,1,1.659148,1.208257,1.208257,0.450891,0.450891,1.705487,1.321772,1.129915,0.575573,0.383715,-0.046339,-0.113516,0.078342,-0.124681,0.067176
lsem_oracleZ,1,N1000_nX10_sx1,13,1000,10,1,1.879384,1.354426,1.354426,0.524958,0.524958,1.694321,1.310057,1.117925,0.576396,0.384264,0.185063,0.044369,0.236501,-0.051438,0.140694
lsem_oracleZ,1,N1000_nX10_sx1,14,1000,10,1,1.757827,1.214107,1.214107,0.543720,0.543720,1.659156,1.275646,1.083891,0.575264,0.383510,0.098671,-0.061539,0.130215,-0.031544,0.160210
lsem_oracleZ,1,N1000_nX10_sx1,15,1000,10,1,1.664874,1.209496,1.209496,0.455377,0.455377,1.711819,1.327763,1.135735,0.576084,0.384056,-0.046945,-0.118267,0.073762,-0.120707,0.071321
