method,scenario_id,scenario,rep,N,n_X,sigma_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,N1000_nX10_sx0.7,1,1000,10,0.700000,1.535333,1.105322,1.105322,0.430011,0.430011,1.710150,1.326432,1.134572,0.575578,0.383719,-0.174817,-0.221110,-0.029251,-0.145567,0.046293,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,2,1000,10,0.700000,1.603262,1.202807,1.202807,0.400455,0.400455,1.734092,1.350650,1.158929,0.575163,0.383442,-0.130830,-0.147843,0.043878,-0.174708,0.017013,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,3,1000,10,0.700000,1.529375,1.106732,1.106732,0.422643,0.422643,1.755886,1.371707,1.179617,0.576269,0.384179,-0.226511,-0.264975,-0.072885,-0.153626,0.038464,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,4,1000,10,0.700000,1.587837,1.136043,1.136043,0.451794,0.451794,1.720227,1.336676,1.144900,0.575326,0.383551,-0.132390,-0.200633,-0.008858,-0.123532,0.068243,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,5,1000,10,0.700000,1.657454,1.179251,1.179251,0.478202,0.478202,1.738600,1.354991,1.163187,0.575413,0.383609,-0.081146,-0.175740,0.016065,-0.097211,0.094593,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,6,1000,10,0.700000,1.711355,1.210338,1.210338,0.501017,0.501017,1.741934,1.357763,1.165678,0.576255,0.384170,-0.030578,-0.147425,0.044660,-0.075238,0.116847,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,7,1000,10,0.700000,1.715339,1.301064,1.301064,0.414275,0.414275,1.734067,1.350004,1.157972,0.576095,0.384063,-0.018728,-0.048939,0.143092,-0.161820,0.030211,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,8,1000,10,0.700000,1.782316,1.222257,1.222257,0.560059,0.560059,1.757448,1.374330,1.182771,0.574678,0.383118,0.024867,-0.152073,0.039486,-0.014619,0.176941,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,9,1000,10,0.700000,1.688044,1.233238,1.233238,0.454805,0.454805,1.731174,1.347732,1.156011,0.575163,0.383442,-0.043130,-0.114494,0.077227,-0.120357,0.071364,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,10,1000,10,0.700000,1.668508,1.281304,1.281304,0.387204,0.387204,1.762794,1.378653,1.186583,0.576210,0.384140,-0.094286,-0.097350,0.094720,-0.189006,0.003064,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,11,1000,10,0.700000,1.440905,1.128172,1.128172,0.312733,0.312733,1.754853,1.370847,1.178845,0.576008,0.384006,-0.313948,-0.242675,-0.050672,-0.263275,-0.071272,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,12,1000,10,0.700000,1.555290,1.117959,1.117959,0.437331,0.437331,1.744187,1.360472,1.168615,0.575573,0.383715,-0.188897,-0.242513,-0.050655,-0.138242,0.053616,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,13,1000,10,0.700000,1.818134,1.323912,1.323912,0.494222,0.494222,1.732571,1.348307,1.156175,0.576396,0.384264,0.085564,-0.024394,0.167738,-0.082174,0.109958,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,14,1000,10,0.700000,1.714806,1.218753,1.218753,0.496053,0.496053,1.694856,1.311346,1.119591,0.575264,0.383510,0.019950,-0.092593,0.099161,-0.079211,0.112543,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,15,1000,10,0.700000,1.521041,1.113625,1.113625,0.407416,0.407416,1.750219,1.366163,1.174135,0.576084,0.384056,-0.229178,-0.252538,-0.060510,-0.168668,0.023360,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,16,1000,10,0.700000,1.576382,1.195811,1.195811,0.380572,0.380572,1.742416,1.358071,1.165899,0.576517,0.384344,-0.166033,-0.162261,0.029912,-0.195945,-0.003773,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,17,1000,10,0.700000,1.445009,1.058292,1.058292,0.386717,0.386717,1.729440,1.345448,1.153451,0.575989,0.383993,-0.284431,-0.287155,-0.095159,-0.189272,0.002724,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,18,1000,10,0.700000,1.463444,1.069688,1.069688,0.393756,0.393756,1.753513,1.369315,1.177216,0.576297,0.384198,-0.290070,-0.299627,-0.107528,-0.182542,0.009558,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,19,1000,10,0.700000,1.602236,1.172718,1.172718,0.429519,0.429519,1.714202,1.330654,1.138880,0.575323,0.383548,-0.111966,-0.157936,0.033838,-0.145804,0.045970,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,20,1000,10,0.700000,1.631697,1.215486,1.215486,0.416212,0.416212,1.755775,1.371979,1.180081,0.575694,0.383796,-0.124077,-0.156493,0.035405,-0.159483,0.032415,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,21,1000,10,0.700000,1.583091,1.186019,1.186019,0.397073,0.397073,1.751474,1.367530,1.175558,0.575916,0.383944,-0.168383,-0.181512,0.010460,-0.178843,0.013129,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,22,1000,10,0.700000,1.550746,1.073627,1.073627,0.477119,0.477119,1.742283,1.358723,1.166942,0.575340,0.383560,-0.191536,-0.285095,-0.093315,-0.098221,0.093559,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,23,1000,10,0.700000,1.776713,1.215290,1.215290,0.561423,0.561423,1.748556,1.364719,1.172801,0.575755,0.383837,0.028156,-0.149430,0.042489,-0.014332,0.177586,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,24,1000,10,0.700000,1.576110,1.136831,1.136831,0.439279,0.439279,1.712039,1.327974,1.135941,0.576098,0.384065,-0.135930,-0.191143,0.000890,-0.136819,0.055213,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,25,1000,10,0.700000,1.691337,1.168341,1.168341,0.522996,0.522996,1.746582,1.363689,1.172242,0.574340,0.382894,-0.055246,-0.195348,-0.003901,-0.051345,0.140102,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,26,1000,10,0.700000,1.865151,1.304316,1.304316,0.560834,0.560834,1.757165,1.373864,1.182213,0.574952,0.383302,0.107985,-0.069547,0.122103,-0.014118,0.177533,,,,,,
lsem_proxyX,1,N1000_nX10_sx0.7,27,1000,10,0.700000,1.631846,1.079121,1.079121,0.552725,0.552725,1.762220,1.378171,1.186147,0.576073,0.384048,-0.130373,-0.299050,-0.107026,-0.023348,0.168677,,,,,,
