epoch,loss
0,366.0701
1,330.9583
2,292.6244
3,265.0850
4,253.7023
5,249.7937
6,248.0479
7,246.6635
8,245.6081
9,244.5296
10,243.5277
11,242.5810
12,241.9113
13,241.3694
14,240.9115
15,240.5854
16,240.3126
17,240.1126
18,240.0033
19,239.8599
20,239.7330
21,239.6421
22,239.5754
23,239.5046
24,239.3995
25,239.3871
26,239.3156
27,239.2845
28,239.2292
29,239.2094
30,239.1617
31,239.1351
32,239.1096
33,239.1010
34,239.0952
35,239.0345
36,239.0347
37,239.0310
38,238.9897
39,238.9932
40,238.9871
41,238.9682
42,238.9333
43,238.9231
44,238.9093
45,238.9175
46,238.8920
47,238.9009
48,238.8964
49,238.8760
50,238.8585
51,238.8430
52,238.8589
53,238.8308
54,238.8278
55,238.8084
56,238.7976
57,238.8030
58,238.7928
59,238.7951
60,238.7704
61,238.7843
62,238.7669
63,238.7744
64,238.7479
65,238.7579
66,238.7412
67,238.7436
68,238.7417
69,238.7392
70,238.7282
71,238.7187
72,238.7046
73,238.6954
74,238.6786
75,238.6946
76,238.6841
77,238.6768
78,238.6765
79,238.6675
80,238.6727
81,238.6455
82,238.6590
83,238.6578
84,238.6477
85,238.6311
86,238.6328
87,238.6279
88,238.6343
89,238.6186
90,238.6241
91,238.6095
92,238.6193
93,238.6198
94,238.6007
95,238.5934
96,238.6044
97,238.5863
98,238.5779
99,238.5798
100,238.5725
101,238.5686
102,238.5644
103,238.5720
104,238.5828
105,238.5553
106,238.5588
107,238.5510
108,238.5467
109,238.5447
110,238.5306
111,238.5366
112,238.5333
113,238.5262
114,238.5230
115,238.5242
116,238.5101
117,238.5194
118,238.5134
119,238.5077
120,238.4811
121,238.5083
122,238.5222
123,238.5012
124,238.4982
125,238.4693
126,238.4823
127,238.4810
128,238.4750
129,238.4641
130,238.4647
131,238.4681
132,238.4578
133,238.4593
134,238.4533
135,238.4455
136,238.4580
137,238.4474
138,238.4405
139,238.4361
140,238.4437
141,238.4385
142,238.4341
143,238.4273
144,238.4179
145,238.4230
146,238.4145
147,238.4227
148,238.4233
149,238.4074
150,238.4048
151,238.3994
152,238.4115
153,238.3890
154,238.3990
155,238.3941
156,238.3935
157,238.3853
158,238.3760
159,238.3840
160,238.3700
161,238.3834
162,238.3899
163,238.3700
164,238.3605
165,238.3541
166,238.3556
167,238.3562
168,238.3635
169,238.3520
170,238.3429
171,238.3506
172,238.3459
173,238.3424
174,238.3389
175,238.3292
176,238.3453
177,238.3454
178,238.3128
179,238.3257
180,238.3274
181,238.3195
182,238.3333
183,238.3181
184,238.3193
185,238.3149
186,238.3137
187,238.3064
188,238.3168
189,238.2999
190,238.2963
191,238.3040
192,238.2948
193,238.3027
194,238.2994
195,238.2951
196,238.2912
197,238.2950
198,238.2852
199,238.2898
200,238.2865
201,238.2852
202,238.2781
203,238.2852
204,238.2744
205,238.2842
206,238.2782
207,238.2744
208,238.2772
209,238.2657
210,238.2631
211,238.2785
212,238.2585
213,238.2693
214,238.2606
215,238.2594
216,238.2689
217,238.2618
218,238.2477
219,238.2592
220,238.2482
221,238.2382
222,238.2538
223,238.2364
224,238.2387
225,238.2401
226,238.2509
227,238.2457
228,238.2362
229,238.2269
230,238.2327
231,238.2302
232,238.2382
233,238.2303
234,238.2244
235,238.2333
236,238.2254
237,238.2317
238,238.2188
239,238.2282
240,238.2256
241,238.2129
242,238.2191
243,238.2144
244,238.2167
245,238.2125
246,238.2041
247,238.2092
248,238.2086
249,238.2083
250,238.2230
251,238.2078
252,238.2053
253,238.1997
254,238.2027
255,238.2134
256,238.2083
257,238.2017
258,238.1927
259,238.2021
260,238.2034
261,238.2007
262,238.1980
263,238.1911
264,238.2001
265,238.1853
266,238.1817
267,238.1788
268,238.1899
269,238.1894
270,238.1827
271,238.1920
272,238.1911
273,238.1788
274,238.1900
275,238.1843
276,238.1758
277,238.1735
278,238.1888
279,238.1776
280,238.1777
281,238.1618
282,238.1768
283,238.1689
284,238.1711
285,238.1685
286,238.1763
287,238.1708
288,238.1658
289,238.1609
290,238.1726
291,238.1590
292,238.1660
293,238.1747
294,238.1627
295,238.1729
296,238.1671
297,238.1563
298,238.1617
299,238.1649
300,238.1557
301,238.1592
302,238.1607
303,238.1573
304,238.1473
305,238.1472
306,238.1492
307,238.1471
308,238.1479
309,238.1457
310,238.1516
311,238.1374
312,238.1389
313,238.1570
314,238.1533
315,238.1393
316,238.1420
317,238.1437
318,238.1406
319,238.1426
320,238.1334
321,238.1310
322,238.1351
323,238.1421
324,238.1308
325,238.1420
326,238.1355
327,238.1333
328,238.1427
329,238.1266
330,238.1301
331,238.1261
332,238.1211
333,238.1222
334,238.1277
335,238.1281
336,238.1205
337,238.1254
338,238.1306
339,238.1214
340,238.1126
341,238.1303
342,238.1234
343,238.1177
344,238.1168
345,238.1166
346,238.1096
347,238.1200
348,238.1098
349,238.1191
350,238.1199
351,238.1109
352,238.1118
353,238.1134
354,238.1058
355,238.1055
356,238.1057
357,238.1037
358,238.1049
359,238.1028
360,238.0859
361,238.1039
362,238.0972
363,238.0916
364,238.1038
365,238.0869
366,238.0842
367,238.1033
368,238.1000
369,238.0932
370,238.1084
371,238.0942
372,238.0927
373,238.0973
374,238.0967
375,238.0884
376,238.0846
377,238.0868
378,238.0844
379,238.0929
380,238.0900
381,238.0917
382,238.0929
383,238.0945
384,238.0838
385,238.0896
386,238.0878
387,238.0944
388,238.0842
389,238.0783
390,238.0765
391,238.0881
392,238.0851
393,238.0806
394,238.0749
395,238.0840
396,238.0803
397,238.0779
398,238.0802
399,238.0743
400,238.0809
401,238.0821
402,238.0781
403,238.0646
404,238.0721
405,238.0744
406,238.0804
407,238.0832
408,238.0729
409,238.0655
410,238.0775
411,238.0694
412,238.0634
413,238.0722
414,238.0694
415,238.0731
416,238.0718
417,238.0669
418,238.0655
419,238.0652
420,238.0709
421,238.0722
422,238.0677
423,238.0709
424,238.0636
425,238.0671
426,238.0682
427,238.0606
428,238.0602
429,238.0684
430,238.0587
431,238.0660
432,238.0553
433,238.0609
434,238.0779
435,238.0588
436,238.0612
437,238.0576
438,238.0616
439,238.0603
440,238.0666
441,238.0598
442,238.0599
443,238.0550
444,238.0534
445,238.0531
446,238.0603
447,238.0543
448,238.0609
449,238.0616
450,238.0664
451,238.0565
452,238.0594
453,238.0623
454,238.0549
455,238.0509
456,238.0639
457,238.0603
458,238.0598
459,238.0512
460,238.0631
461,238.0574
462,238.0684
463,238.0589
464,238.0486
465,238.0523
466,238.0533
467,238.0590
468,238.0567
469,238.0549
470,238.0455
471,238.0537
472,238.0538
473,238.0511
474,238.0502
475,238.0471
476,238.0500
477,238.0544
478,238.0572
479,238.0517
480,238.0543
481,238.0475
482,238.0609
483,238.0502
484,238.0453
485,238.0454
486,238.0406
487,238.0346
488,238.0561
489,238.0535
490,238.0474
491,238.0465
492,238.0403
493,238.0483
494,238.0498
495,238.0495
496,238.0468
497,238.0525
498,238.0480
499,238.0483
500,238.0446
501,238.0405
502,238.0406
503,238.0379
504,238.0500
505,238.0454
506,238.0432
507,238.0438
508,238.0414
509,238.0448
510,238.0473
511,238.0424
512,238.0343
513,238.0477
514,238.0447
515,238.0436
516,238.0376
517,238.0469
518,238.0423
519,238.0383
520,238.0350
521,238.0311
522,238.0476
523,238.0428
524,238.0408
525,238.0386
526,238.0425
527,238.0306
528,238.0455
529,238.0400
530,238.0410
531,238.0423
532,238.0430
533,238.0445
534,238.0377
535,238.0352
536,238.0430
537,238.0373
538,238.0462
539,238.0345
540,238.0431
541,238.0344
542,238.0442
543,238.0376
544,238.0375
545,238.0376
546,238.0346
547,238.0416
548,238.0404
549,238.0425
550,238.0397
551,238.0367
552,238.0310
553,238.0349
554,238.0327
555,238.0252
556,238.0358
557,238.0323
558,238.0406
559,238.0388
560,238.0355
561,238.0411
562,238.0409
563,238.0382
564,238.0303
565,238.0391
566,238.0418
567,238.0407
568,238.0461
569,238.0390
570,238.0305
571,238.0326
572,238.0340
573,238.0437
574,238.0285
575,238.0377
576,238.0351
577,238.0381
578,238.0336
579,238.0442
580,238.0330
581,238.0386
582,238.0469
583,238.0354
584,238.0297
585,238.0277
586,238.0385
587,238.0378
588,238.0334
589,238.0339
590,238.0413
591,238.0309
592,238.0333
593,238.0414
594,238.0359
595,238.0394
596,238.0360
597,238.0462
598,238.0429
599,238.0341
600,238.0384
601,238.0235
602,238.0349
603,238.0288
604,238.0295
605,238.0333
606,238.0291
607,238.0291
608,238.0369
609,238.0260
610,238.0322
611,238.0338
612,238.0252
613,238.0323
614,238.0330
615,238.0354
616,238.0299
617,238.0412
618,238.0320
619,238.0347
620,238.0275
621,238.0238
622,238.0304
623,238.0315
624,238.0268
625,238.0317
626,238.0322
627,238.0355
628,238.0270
629,238.0357
630,238.0370
631,238.0424
632,238.0346
633,238.0262
634,238.0286
635,238.0309
636,238.0277
637,238.0262
638,238.0320
639,238.0316
640,238.0372
641,238.0365
642,238.0200
643,238.0175
644,238.0256
645,238.0414
646,238.0301
647,238.0220
648,238.0233
649,238.0248
650,238.0322
651,238.0221
652,238.0379
653,238.0289
654,238.0277
655,238.0206
656,238.0406
657,238.0399
658,238.0295
659,238.0288
660,238.0330
661,238.0288
662,238.0271
663,238.0223
664,238.0310
665,238.0331
666,238.0264
667,238.0257
668,238.0313
669,238.0292
670,238.0235
671,238.0279
672,238.0280
673,238.0301
674,238.0352
675,238.0272
676,238.0292
677,238.0286
678,238.0209
679,238.0316
680,238.0217
681,238.0311
682,238.0265
683,238.0294
684,238.0223
685,238.0313
686,238.0409
687,238.0320
688,238.0322
689,238.0240
690,238.0265
691,238.0326
692,238.0329
693,238.0216
694,238.0244
695,238.0231
696,238.0220
697,238.0193
698,238.0391
699,238.0226
