method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
cmavae,1,N1000_nX10_sx1,1,1000,10,1,1.651065,1.106190,0.544876,0.294684,1.671828,1.096250,0.575578,0.383719,-0.020762,0.009940,-0.030702,-0.089035,True,46.014209,20.138548,0.004522,0.562341,0.000225
cmavae,1,N1000_nX10_sx1,2,1000,10,1,1.628560,1.180012,0.448548,0.293186,1.702962,1.127799,0.575163,0.383442,-0.074401,0.052214,-0.126615,-0.090256,True,48.941670,20.219914,0.006362,0.586857,0.000315
cmavae,1,N1000_nX10_sx1,3,1000,10,1,1.638224,1.128410,0.509815,0.360826,1.719829,1.143560,0.576269,0.384179,-0.081605,-0.015150,-0.066454,-0.023353,True,47.905672,20.234387,0.009221,0.577620,0.000456
cmavae,1,N1000_nX10_sx1,4,1000,10,1,1.697667,1.133185,0.564482,0.370761,1.683793,1.108467,0.575326,0.383551,0.013874,0.024718,-0.010844,-0.012789,True,48.822506,20.080860,0.013119,0.588697,0.000653
cmavae,1,N1000_nX10_sx1,5,1000,10,1,1.852080,1.231942,0.620138,0.354422,1.700241,1.124828,0.575413,0.383609,0.151839,0.107114,0.044725,-0.029187,True,50.246673,20.116892,0.023956,0.599637,0.001191
cmavae,1,N1000_nX10_sx1,6,1000,10,1,1.762228,1.169377,0.592851,0.334691,1.706095,1.129840,0.576255,0.384170,0.056133,0.039537,0.016596,-0.049479,True,47.169902,20.051930,0.010543,0.574900,0.000526
cmavae,1,N1000_nX10_sx1,7,1000,10,1,1.592913,1.073414,0.519499,0.371676,1.692230,1.116135,0.576095,0.384063,-0.099317,-0.042721,-0.056596,-0.012387,True,48.845998,19.973322,0.014826,0.591096,0.000742
cmavae,1,N1000_nX10_sx1,8,1000,10,1,1.828334,1.136131,0.692202,0.397704,1.718281,1.143604,0.574678,0.383118,0.110052,-0.007472,0.117525,0.014585,True,47.615233,19.975153,0.014451,0.580488,0.000723
cmavae,1,N1000_nX10_sx1,9,1000,10,1,1.706463,1.247310,0.459153,0.322021,1.697647,1.122484,0.575163,0.383442,0.008816,0.124826,-0.116010,-0.061421,True,46.663162,19.994651,0.013614,0.571511,0.000681
cmavae,1,N1000_nX10_sx1,10,1000,10,1,1.753427,1.244628,0.508799,0.299338,1.723279,1.147069,0.576210,0.384140,0.030147,0.097559,-0.067411,-0.084802,True,45.559132,20.119915,0.009336,0.558378,0.000464
