method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
dmavae,1,N1000_nX10_sx1,1,1000,10,1,1.728937,1.068623,0.660314,0.398475,1.671828,1.096250,0.575578,0.383719,0.057109,-0.027627,0.084736,0.014756,True,43.632785,19.937306,0.022706,0.543066,0.001139
dmavae,1,N1000_nX10_sx1,2,1000,10,1,1.656508,1.076683,0.579825,0.375960,1.702962,1.127799,0.575163,0.383442,-0.046453,-0.051116,0.004662,-0.007482,True,43.716310,19.989121,0.019159,0.542754,0.000958
dmavae,1,N1000_nX10_sx1,3,1000,10,1,1.583648,0.966588,0.617060,0.394814,1.719829,1.143560,0.576269,0.384179,-0.136181,-0.176972,0.040791,0.010635,True,45.514302,20.180995,0.016989,0.556601,0.000842
dmavae,1,N1000_nX10_sx1,4,1000,10,1,1.527018,0.941760,0.585258,0.372628,1.683793,1.108467,0.575326,0.383551,-0.156775,-0.166707,0.009932,-0.010923,True,46.490566,20.161643,0.023466,0.566328,0.001164
dmavae,1,N1000_nX10_sx1,5,1000,10,1,1.906469,1.204694,0.701775,0.423914,1.700241,1.124828,0.575413,0.383609,0.206228,0.079866,0.126362,0.040305,True,44.709842,20.064899,0.019328,0.551220,0.000963
dmavae,1,N1000_nX10_sx1,6,1000,10,1,1.670605,0.990085,0.680520,0.404577,1.706095,1.129840,0.576255,0.384170,-0.035490,-0.139755,0.104264,0.020407,True,46.440876,19.856228,0.012168,0.572441,0.000613
dmavae,1,N1000_nX10_sx1,7,1000,10,1,1.647904,1.067113,0.580791,0.397084,1.692230,1.116135,0.576095,0.384063,-0.044326,-0.049022,0.004696,0.013020,True,44.633691,19.935872,0.027577,0.553345,0.001383
dmavae,1,N1000_nX10_sx1,8,1000,10,1,1.868632,1.073613,0.795019,0.512800,1.718281,1.143604,0.574678,0.383118,0.150350,-0.069991,0.220341,0.129681,True,42.144094,19.782130,0.009730,0.530607,0.000492
dmavae,1,N1000_nX10_sx1,9,1000,10,1,1.524664,1.003323,0.521341,0.341709,1.697647,1.122484,0.575163,0.383442,-0.172983,-0.119161,-0.053822,-0.041733,True,45.182628,20.032003,0.021827,0.556644,0.001090
dmavae,1,N1000_nX10_sx1,10,1000,10,1,1.958669,1.382079,0.576590,0.444243,1.723279,1.147069,0.576210,0.384140,0.235389,0.235010,0.000380,0.060103,True,43.420896,20.011203,0.021637,0.539134,0.001081
dmavae,1,N1000_nX10_sx1,11,1000,10,1,1.611851,1.148984,0.462866,0.311941,1.713047,1.137038,0.576008,0.384006,-0.101196,0.011946,-0.113142,-0.072065,True,46.208812,19.839043,0.023273,0.570665,0.001173
dmavae,1,N1000_nX10_sx1,12,1000,10,1,1.557263,0.988334,0.568928,0.336281,1.707714,1.132142,0.575573,0.383715,-0.150452,-0.143808,-0.006644,-0.047434,True,46.200596,19.899893,0.018291,0.569272,0.000919
dmavae,1,N1000_nX10_sx1,13,1000,10,1,1.859938,1.118226,0.741712,0.403538,1.698897,1.122501,0.576396,0.384264,0.161040,-0.004276,0.165316,0.019274,True,44.235141,20.151673,0.017088,0.544442,0.000848
dmavae,1,N1000_nX10_sx1,14,1000,10,1,1.860012,1.230412,0.629600,0.450933,1.656659,1.081394,0.575264,0.383510,0.203353,0.149018,0.054335,0.067424,True,40.541987,20.022159,0.019340,0.506138,0.000966
dmavae,1,N1000_nX10_sx1,15,1000,10,1,1.603694,1.059739,0.543954,0.381840,1.704277,1.128193,0.576084,0.384056,-0.100583,-0.068453,-0.032130,-0.002216,True,43.994195,19.941044,0.018663,0.546735,0.000936
