method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
dml_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.549264,1.252073,1.003667,0.545597,0.297191,1.671828,1.288109,1.096250,0.575578,0.383719,-0.122563,-0.036036,-0.092583,-0.029981,-0.086528
dml_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.680750,1.319403,1.211015,0.469734,0.361347,1.702962,1.319520,1.127799,0.575163,0.383442,-0.022212,-0.000117,0.083217,-0.105429,-0.022095
dml_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.654625,1.278466,1.082207,0.572418,0.376159,1.719829,1.335650,1.143560,0.576269,0.384179,-0.065204,-0.057184,-0.061353,-0.003851,-0.008020
dml_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.640588,1.229859,1.124174,0.516414,0.410729,1.683793,1.300242,1.108467,0.575326,0.383551,-0.043205,-0.070383,0.015707,-0.058912,0.027178
dml_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.740920,1.327562,1.138064,0.602855,0.413357,1.700241,1.316632,1.124828,0.575413,0.383609,0.040679,0.010930,0.013237,0.027442,0.029748
dml_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.744303,1.333029,1.144957,0.599345,0.411274,1.706095,1.321925,1.129840,0.576255,0.384170,0.038207,0.011103,0.015117,0.023090,0.027104
dml_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.702936,1.341885,1.171869,0.531067,0.361051,1.692230,1.308167,1.116135,0.576095,0.384063,0.010706,0.033718,0.055734,-0.045028,-0.023012
dml_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.864685,1.431472,1.126789,0.737897,0.433213,1.718281,1.335163,1.143604,0.574678,0.383118,0.146404,0.096309,-0.016815,0.163219,0.050095
dml_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.666576,1.309306,1.178727,0.487848,0.357270,1.697647,1.314205,1.122484,0.575163,0.383442,-0.031071,-0.004899,0.056244,-0.087315,-0.026172
dml_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.741882,1.458244,1.299679,0.442204,0.283639,1.723279,1.339139,1.147069,0.576210,0.384140,0.018603,0.119105,0.152610,-0.134006,-0.100501
dml_proxyX,1,N1000_nX10_sx1,11,1000,10,1,1.544647,1.312924,1.143417,0.401230,0.231723,1.713047,1.329041,1.137038,0.576008,0.384006,-0.168399,-0.016117,0.006379,-0.174778,-0.152282
dml_proxyX,1,N1000_nX10_sx1,12,1000,10,1,1.592424,1.333227,1.123229,0.469196,0.259198,1.707714,1.323999,1.132142,0.575573,0.383715,-0.115290,0.009228,-0.008913,-0.106377,-0.124518
dml_proxyX,1,N1000_nX10_sx1,13,1000,10,1,1.875831,1.476546,1.236731,0.639100,0.399285,1.698897,1.314633,1.122501,0.576396,0.384264,0.176933,0.161912,0.114230,0.062704,0.015021
