method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
dml_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.833490,1.540446,1.225933,0.607557,0.293044,1.671828,1.288109,1.096250,0.575578,0.383719,0.161663,0.252337,0.129684,0.031979,-0.090675
dml_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.698625,1.350645,1.252140,0.446485,0.347980,1.702962,1.319520,1.127799,0.575163,0.383442,-0.004337,0.031125,0.124341,-0.128678,-0.035462
dml_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.715191,1.212847,1.157112,0.558079,0.502344,1.719829,1.335650,1.143560,0.576269,0.384179,-0.004638,-0.122802,0.013552,-0.018190,0.118165
dml_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.907672,1.445670,1.275393,0.632279,0.462003,1.683793,1.300242,1.108467,0.575326,0.383551,0.223879,0.145427,0.166926,0.056953,0.078452
dml_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.842384,1.155424,1.253954,0.588430,0.686960,1.700241,1.316632,1.124828,0.575413,0.383609,0.142143,-0.161208,0.129127,0.013016,0.303351
dml_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.863030,1.474627,1.334028,0.529002,0.388403,1.706095,1.321925,1.129840,0.576255,0.384170,0.156935,0.152702,0.204188,-0.047253,0.004233
dml_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.605644,1.297022,1.172962,0.432681,0.308622,1.692230,1.308167,1.116135,0.576095,0.384063,-0.086586,-0.011145,0.056827,-0.143414,-0.075442
dml_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.994654,1.642279,1.213738,0.780917,0.352375,1.718281,1.335163,1.143604,0.574678,0.383118,0.276373,0.307116,0.070134,0.206239,-0.030744
dml_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.939915,1.572853,1.366585,0.573330,0.367062,1.697647,1.314205,1.122484,0.575163,0.383442,0.242268,0.258648,0.244101,-0.001833,-0.016380
dml_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.766045,1.386277,1.151757,0.614288,0.379768,1.723279,1.339139,1.147069,0.576210,0.384140,0.042766,0.047138,0.004688,0.038078,-0.004373
dml_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.609650,1.421165,1.269796,0.339854,0.188484,1.713047,1.329041,1.137038,0.576008,0.384006,-0.103397,0.092124,0.132757,-0.236155,-0.195521
dml_oracleZ,1,N1000_nX10_sx1,12,1000,10,1,1.588534,1.335676,1.030303,0.558231,0.252858,1.707714,1.323999,1.132142,0.575573,0.383715,-0.119181,0.011676,-0.101839,-0.017341,-0.130857
dml_oracleZ,1,N1000_nX10_sx1,13,1000,10,1,1.890326,1.463654,1.253069,0.637257,0.426672,1.698897,1.314633,1.122501,0.576396,0.384264,0.191429,0.149021,0.130568,0.060861,0.042408
dml_oracleZ,1,N1000_nX10_sx1,14,1000,10,1,1.658169,1.206580,1.018569,0.639600,0.451590,1.656659,1.273149,1.081394,0.575264,0.383510,0.001510,-0.066570,-0.062825,0.064336,0.068080
dml_oracleZ,1,N1000_nX10_sx1,15,1000,10,1,1.970320,1.496263,1.348957,0.621363,0.474057,1.704277,1.320221,1.128193,0.576084,0.384056,0.266043,0.176043,0.220764,0.045279,0.090000
dml_oracleZ,1,N1000_nX10_sx1,16,1000,10,1,1.270690,0.910197,0.850980,0.419710,0.360493,1.703545,1.319200,1.127028,0.576517,0.384344,-0.432854,-0.409003,-0.276048,-0.156806,-0.023852
dml_oracleZ,1,N1000_nX10_sx1,17,1000,10,1,1.445421,1.115316,0.976498,0.468923,0.330104,1.693700,1.309708,1.117711,0.575989,0.383993,-0.248280,-0.194391,-0.141214,-0.107066,-0.053888
dml_oracleZ,1,N1000_nX10_sx1,18,1000,10,1,1.560366,1.258454,1.025016,0.535350,0.301912,1.721993,1.337795,1.145696,0.576297,0.384198,-0.161627,-0.079341,-0.120680,-0.040947,-0.082286
dml_oracleZ,1,N1000_nX10_sx1,19,1000,10,1,1.767860,1.336280,1.304962,0.462898,0.431581,1.673038,1.289490,1.097716,0.575323,0.383548,0.094822,0.046790,0.207246,-0.112424,0.048032
dml_oracleZ,1,N1000_nX10_sx1,20,1000,10,1,1.838656,1.356450,1.326343,0.512314,0.482207,1.718395,1.334599,1.142701,0.575694,0.383796,0.120261,0.021850,0.183641,-0.063380,0.098411
dml_oracleZ,1,N1000_nX10_sx1,21,1000,10,1,1.883243,1.476184,1.322158,0.561085,0.407059,1.719265,1.335321,1.143349,0.575916,0.383944,0.163978,0.140863,0.178809,-0.014831,0.023115
dml_oracleZ,1,N1000_nX10_sx1,22,1000,10,1,1.560503,1.216559,0.932465,0.628038,0.343944,1.707391,1.323831,1.132051,0.575340,0.383560,-0.146888,-0.107272,-0.199586,0.052698,-0.039616
dml_oracleZ,1,N1000_nX10_sx1,23,1000,10,1,1.678105,1.117863,0.974212,0.703893,0.560243,1.709506,1.325669,1.133751,0.575755,0.383837,-0.031401,-0.207807,-0.159539,0.128137,0.176406
dml_oracleZ,1,N1000_nX10_sx1,24,1000,10,1,1.726647,1.398700,1.086533,0.640114,0.327947,1.669989,1.285924,1.093891,0.576098,0.384065,0.056658,0.112776,-0.007358,0.064016,-0.056119
dml_oracleZ,1,N1000_nX10_sx1,25,1000,10,1,1.943961,1.420356,1.303571,0.640390,0.523605,1.716406,1.333512,1.142066,0.574340,0.382894,0.227555,0.086843,0.161505,0.066050,0.140712
dml_oracleZ,1,N1000_nX10_sx1,26,1000,10,1,2.014923,1.636937,1.294726,0.720197,0.377986,1.724416,1.341115,1.149464,0.574952,0.383302,0.290507,0.295822,0.145262,0.145245,-0.005316
dml_oracleZ,1,N1000_nX10_sx1,27,1000,10,1,1.809603,1.404919,1.115304,0.694299,0.404684,1.725889,1.341841,1.149817,0.576073,0.384048,0.083714,0.063078,-0.034512,0.118226,0.020636
dml_oracleZ,1,N1000_nX10_sx1,28,1000,10,1,1.868017,1.343589,1.288724,0.579294,0.524429,1.711447,1.327251,1.135152,0.576295,0.384197,0.156570,0.016338,0.153571,0.002999,0.140232
dml_oracleZ,1,N1000_nX10_sx1,29,1000,10,1,1.610506,1.193112,0.977925,0.632581,0.417394,1.670588,1.286597,1.094602,0.575986,0.383991,-0.060082,-0.093485,-0.116677,0.056595,0.033403
dml_oracleZ,1,N1000_nX10_sx1,30,1000,10,1,1.549580,1.168781,0.860516,0.689064,0.380799,1.713034,1.329738,1.138089,0.574944,0.383296,-0.163454,-0.160957,-0.277574,0.114120,-0.002497
dml_oracleZ,1,N1000_nX10_sx1,31,1000,10,1,1.340475,1.130691,1.024976,0.315498,0.209784,1.700429,1.316534,1.124587,0.575842,0.383895,-0.359954,-0.185844,-0.099611,-0.260344,-0.174111
dml_oracleZ,1,N1000_nX10_sx1,32,1000,10,1,1.669842,1.460140,1.134305,0.535538,0.209703,1.693306,1.309868,1.118149,0.575157,0.383438,-0.023463,0.150272,0.016156,-0.039619,-0.173736
dml_oracleZ,1,N1000_nX10_sx1,33,1000,10,1,1.318587,1.018711,0.934309,0.384278,0.299877,1.682646,1.299067,1.107277,0.575368,0.383579,-0.364058,-0.280356,-0.172968,-0.191090,-0.083702
dml_oracleZ,1,N1000_nX10_sx1,34,1000,10,1,1.651700,1.329592,1.156220,0.495479,0.322108,1.697393,1.313635,1.121756,0.575637,0.383758,-0.045694,0.015956,0.034464,-0.080158,-0.061650
dml_oracleZ,1,N1000_nX10_sx1,35,1000,10,1,1.615495,1.447037,1.032287,0.583208,0.168459,1.707402,1.323101,1.130950,0.576452,0.384302,-0.091907,0.123936,-0.098663,0.006756,-0.215843
dml_oracleZ,1,N1000_nX10_sx1,36,1000,10,1,1.684425,1.267367,1.062858,0.621566,0.417058,1.692474,1.308142,1.115975,0.576499,0.384333,-0.008050,-0.040775,-0.053117,0.045067,0.032725
dml_oracleZ,1,N1000_nX10_sx1,37,1000,10,1,1.561183,1.229685,1.004369,0.556814,0.331497,1.677742,1.293866,1.101928,0.575815,0.383876,-0.116560,-0.064181,-0.097559,-0.019000,-0.052379
dml_oracleZ,1,N1000_nX10_sx1,38,1000,10,1,1.996634,1.601632,1.344746,0.651888,0.395002,1.698164,1.314891,1.123254,0.574910,0.383273,0.298470,0.286741,0.221492,0.076978,0.011729
dml_oracleZ,1,N1000_nX10_sx1,39,1000,10,1,1.258828,0.929923,0.941817,0.317011,0.328906,1.691210,1.307210,1.115210,0.576000,0.384000,-0.432382,-0.377287,-0.173393,-0.258989,-0.055094
dml_oracleZ,1,N1000_nX10_sx1,40,1000,10,1,1.613722,1.324407,1.165508,0.448214,0.289316,1.688053,1.303718,1.111550,0.576503,0.384335,-0.074330,0.020689,0.053958,-0.128288,-0.095019
dml_oracleZ,1,N1000_nX10_sx1,41,1000,10,1,1.574841,1.086967,1.022998,0.551842,0.487874,1.677903,1.293262,1.100942,0.576960,0.384640,-0.103062,-0.206296,-0.077944,-0.025118,0.103234
dml_oracleZ,1,N1000_nX10_sx1,42,1000,10,1,1.535553,1.153860,1.060788,0.474765,0.381693,1.703164,1.318877,1.126733,0.576432,0.384288,-0.167612,-0.165017,-0.065944,-0.101667,-0.002595
dml_oracleZ,1,N1000_nX10_sx1,43,1000,10,1,1.735495,1.413131,1.210855,0.524639,0.322364,1.731179,1.347082,1.155034,0.576146,0.384097,0.004315,0.066049,0.055822,-0.051506,-0.061733
dml_oracleZ,1,N1000_nX10_sx1,44,1000,10,1,1.802751,1.347358,1.169510,0.633240,0.455393,1.722610,1.338402,1.146298,0.576312,0.384208,0.080140,0.008955,0.023212,0.056928,0.071185
dml_oracleZ,1,N1000_nX10_sx1,45,1000,10,1,1.531162,1.179995,1.083521,0.447641,0.351167,1.694046,1.311020,1.119507,0.574540,0.383026,-0.162884,-0.131025,-0.035986,-0.126898,-0.031860
dml_oracleZ,1,N1000_nX10_sx1,46,1000,10,1,1.654831,1.342807,1.218330,0.436501,0.312024,1.697591,1.313713,1.121773,0.575818,0.383879,-0.042761,0.029094,0.096556,-0.139317,-0.071855
dml_oracleZ,1,N1000_nX10_sx1,47,1000,10,1,1.573295,1.182077,0.980397,0.592899,0.391218,1.723506,1.339938,1.148155,0.575351,0.383567,-0.150210,-0.157861,-0.167758,0.017548,0.007651
dml_oracleZ,1,N1000_nX10_sx1,48,1000,10,1,1.610557,1.297502,1.077905,0.532653,0.313056,1.711434,1.327379,1.135352,0.576082,0.384054,-0.100876,-0.029877,-0.057447,-0.043429,-0.070999
dml_oracleZ,1,N1000_nX10_sx1,49,1000,10,1,1.534416,1.126033,0.982977,0.551439,0.408383,1.739449,1.355365,1.163323,0.576126,0.384084,-0.205032,-0.229331,-0.180345,-0.024687,0.024299
dml_oracleZ,1,N1000_nX10_sx1,50,1000,10,1,1.899162,1.578701,1.219257,0.679905,0.320461,1.708247,1.323617,1.131302,0.576946,0.384630,0.190915,0.255084,0.087955,0.102960,-0.064169
dml_oracleZ,1,N1000_nX10_sx1,51,1000,10,1,1.923567,1.339438,1.172083,0.751485,0.584129,1.692711,1.309549,1.117969,0.574742,0.383162,0.230856,0.029889,0.054114,0.176742,0.200967
dml_oracleZ,1,N1000_nX10_sx1,52,1000,10,1,1.738133,1.461134,1.254665,0.483468,0.276999,1.687037,1.303005,1.110990,0.576047,0.384031,0.051096,0.158129,0.143676,-0.092579,-0.107032
dml_oracleZ,1,N1000_nX10_sx1,53,1000,10,1,1.649662,1.451158,1.090660,0.559002,0.198504,1.687590,1.303854,1.111987,0.575604,0.383736,-0.037928,0.147303,-0.021326,-0.016602,-0.185231
dml_oracleZ,1,N1000_nX10_sx1,54,1000,10,1,1.730174,1.301795,1.179847,0.550327,0.428379,1.709232,1.324969,1.132838,0.576393,0.384262,0.020942,-0.023174,0.047009,-0.026066,0.044117
dml_oracleZ,1,N1000_nX10_sx1,55,1000,10,1,1.630399,1.350423,1.128814,0.501585,0.279976,1.701461,1.317384,1.125346,0.576115,0.384077,-0.071061,0.033039,0.003468,-0.074530,-0.104100
dml_oracleZ,1,N1000_nX10_sx1,56,1000,10,1,1.934410,1.598999,1.501526,0.432884,0.335411,1.721140,1.337533,1.145730,0.575410,0.383607,0.213270,0.261466,0.355797,-0.142526,-0.048196
dml_oracleZ,1,N1000_nX10_sx1,57,1000,10,1,1.834418,1.297452,1.282046,0.552371,0.536966,1.714234,1.330566,1.138731,0.575503,0.383669,0.120183,-0.033114,0.143315,-0.023132,0.153297
dml_oracleZ,1,N1000_nX10_sx1,58,1000,10,1,1.863066,1.388381,1.175933,0.687133,0.474685,1.728199,1.344645,1.152868,0.575331,0.383554,0.134867,0.043736,0.023066,0.111801,0.091131
dml_oracleZ,1,N1000_nX10_sx1,59,1000,10,1,1.767983,1.469475,1.103742,0.664241,0.298508,1.719861,1.336015,1.144092,0.575769,0.383846,0.048122,0.133460,-0.040350,0.088471,-0.085338
dml_oracleZ,1,N1000_nX10_sx1,60,1000,10,1,1.386371,1.082926,0.992901,0.393470,0.303445,1.692382,1.308097,1.115955,0.576427,0.384284,-0.306010,-0.225171,-0.123054,-0.182957,-0.080839
dml_oracleZ,1,N1000_nX10_sx1,61,1000,10,1,1.990665,1.644001,1.377718,0.612946,0.346663,1.727316,1.343951,1.152268,0.575048,0.383365,0.263348,0.300050,0.225450,0.037899,-0.036702
dml_oracleZ,1,N1000_nX10_sx1,62,1000,10,1,2.184466,1.686583,1.548567,0.635899,0.497884,1.705759,1.321879,1.129939,0.575820,0.383880,0.478707,0.364704,0.418628,0.060079,0.114004
dml_oracleZ,1,N1000_nX10_sx1,63,1000,10,1,1.672272,1.217282,1.200864,0.471408,0.454990,1.721276,1.337615,1.145784,0.575492,0.383661,-0.049004,-0.120332,0.055079,-0.104084,0.071328
dml_oracleZ,1,N1000_nX10_sx1,64,1000,10,1,1.867413,1.530215,1.120247,0.747166,0.337199,1.706450,1.322401,1.130377,0.576073,0.384049,0.160963,0.207813,-0.010130,0.171093,-0.046850
dml_oracleZ,1,N1000_nX10_sx1,65,1000,10,1,1.640834,1.375677,1.210490,0.430343,0.265157,1.686428,1.302635,1.110739,0.575688,0.383792,-0.045594,0.073042,0.099751,-0.145345,-0.118635
dml_oracleZ,1,N1000_nX10_sx1,66,1000,10,1,1.689107,1.238768,1.170936,0.518171,0.450339,1.702600,1.318398,1.126297,0.576303,0.384202,-0.013493,-0.079630,0.044639,-0.058132,0.066137
dml_oracleZ,1,N1000_nX10_sx1,67,1000,10,1,1.901892,1.208268,1.135125,0.766767,0.693625,1.690290,1.306610,1.114770,0.575520,0.383680,0.211603,-0.098342,0.020355,0.191248,0.309945
dml_oracleZ,1,N1000_nX10_sx1,68,1000,10,1,2.012196,1.678910,1.265517,0.746679,0.333286,1.669825,1.286419,1.094716,0.575110,0.383406,0.342371,0.392491,0.170801,0.171570,-0.050120
dml_oracleZ,1,N1000_nX10_sx1,69,1000,10,1,1.473613,1.193866,1.062958,0.410654,0.279746,1.707173,1.323615,1.131836,0.575337,0.383558,-0.233560,-0.129749,-0.068877,-0.164683,-0.103812
dml_oracleZ,1,N1000_nX10_sx1,70,1000,10,1,1.834569,1.393338,1.282049,0.552519,0.441230,1.719582,1.335994,1.144200,0.575382,0.383588,0.114986,0.057344,0.137849,-0.022863,0.057642
dml_oracleZ,1,N1000_nX10_sx1,71,1000,10,1,1.790719,1.245640,1.119520,0.671199,0.545079,1.699940,1.315685,1.123558,0.576382,0.384255,0.090780,-0.070045,-0.004037,0.094817,0.160825
dml_oracleZ,1,N1000_nX10_sx1,72,1000,10,1,1.653830,1.096133,0.942211,0.711619,0.557697,1.686482,1.303051,1.111335,0.575146,0.383431,-0.032652,-0.206918,-0.169124,0.136473,0.174266
dml_oracleZ,1,N1000_nX10_sx1,73,1000,10,1,1.590783,1.278126,1.104992,0.485792,0.312657,1.694214,1.310634,1.118843,0.575371,0.383581,-0.103431,-0.032508,-0.013852,-0.089579,-0.070924
dml_oracleZ,1,N1000_nX10_sx1,74,1000,10,1,1.769936,1.459620,1.314458,0.455477,0.310316,1.713168,1.328938,1.136823,0.576345,0.384230,0.056768,0.130681,0.177635,-0.120867,-0.073914
dml_oracleZ,1,N1000_nX10_sx1,75,1000,10,1,1.763810,1.352203,1.150584,0.613225,0.411606,1.707062,1.323157,1.131205,0.575856,0.383904,0.056748,0.029046,0.019379,0.037369,0.027702
