method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.619461,1.184697,1.184697,0.434764,0.434764,1.671828,1.288109,1.096250,0.575578,0.383719,-0.052367,-0.103412,0.088447,-0.140814,0.051045
lsem_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.629659,1.231024,1.231024,0.398635,0.398635,1.702962,1.319520,1.127799,0.575163,0.383442,-0.073302,-0.088496,0.103225,-0.176528,0.015193
lsem_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.666747,1.214134,1.214134,0.452613,0.452613,1.719829,1.335650,1.143560,0.576269,0.384179,-0.053082,-0.121516,0.070574,-0.123656,0.068434
lsem_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.759184,1.271628,1.271628,0.487557,0.487557,1.683793,1.300242,1.108467,0.575326,0.383551,0.075391,-0.028615,0.163161,-0.087770,0.104006
lsem_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.687667,1.196873,1.196873,0.490793,0.490793,1.700241,1.316632,1.124828,0.575413,0.383609,-0.012575,-0.119759,0.072046,-0.084620,0.107184
lsem_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.760412,1.220099,1.220099,0.540313,0.540313,1.706095,1.321925,1.129840,0.576255,0.384170,0.054316,-0.101827,0.090258,-0.035942,0.156143
lsem_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.604182,1.159861,1.159861,0.444321,0.444321,1.692230,1.308167,1.116135,0.576095,0.384063,-0.088048,-0.148306,0.043726,-0.131774,0.060258
lsem_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.788802,1.216972,1.216972,0.571830,0.571830,1.718281,1.335163,1.143604,0.574678,0.383118,0.070521,-0.118191,0.073368,-0.002848,0.188711
lsem_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.672136,1.251092,1.251092,0.421043,0.421043,1.697647,1.314205,1.122484,0.575163,0.383442,-0.025511,-0.063112,0.128609,-0.154119,0.037601
lsem_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.810858,1.373967,1.373967,0.436891,0.436891,1.723279,1.339139,1.147069,0.576210,0.384140,0.087579,0.034828,0.226898,-0.139319,0.052751
lsem_proxyX,1,N1000_nX10_sx1,11,1000,10,1,1.552189,1.223783,1.223783,0.328407,0.328407,1.713047,1.329041,1.137038,0.576008,0.384006,-0.160858,-0.105259,0.086744,-0.247602,-0.055599
lsem_proxyX,1,N1000_nX10_sx1,12,1000,10,1,1.652903,1.197779,1.197779,0.455124,0.455124,1.707714,1.323999,1.132142,0.575573,0.383715,-0.054812,-0.126220,0.065637,-0.120449,0.071409
lsem_proxyX,1,N1000_nX10_sx1,13,1000,10,1,1.755495,1.234597,1.234597,0.520899,0.520899,1.698897,1.314633,1.122501,0.576396,0.384264,0.056598,-0.080037,0.112095,-0.055497,0.136635
lsem_proxyX,1,N1000_nX10_sx1,14,1000,10,1,1.723879,1.220113,1.220113,0.503766,0.503766,1.656659,1.273149,1.081394,0.575264,0.383510,0.067220,-0.053036,0.138718,-0.071498,0.120256
lsem_proxyX,1,N1000_nX10_sx1,15,1000,10,1,1.534161,1.128284,1.128284,0.405877,0.405877,1.704277,1.320221,1.128193,0.576084,0.384056,-0.170116,-0.191937,0.000091,-0.170207,0.021821
lsem_proxyX,1,N1000_nX10_sx1,16,1000,10,1,1.498811,1.115044,1.115044,0.383767,0.383767,1.703545,1.319200,1.127028,0.576517,0.384344,-0.204733,-0.204157,-0.011984,-0.192749,-0.000577
