method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_i_proxyX,1,N1000_nX10_sx1,1,1000,10,1,1.621685,1.314767,1.070333,0.551352,0.306918,1.671828,1.288109,1.096250,0.575578,0.383719,-0.050143,0.026658,-0.025917,-0.024226,-0.076800
lsem_i_proxyX,1,N1000_nX10_sx1,2,1000,10,1,1.630350,1.311280,1.153004,0.477346,0.319070,1.702962,1.319520,1.127799,0.575163,0.383442,-0.072612,-0.008239,0.025205,-0.097817,-0.064372
lsem_i_proxyX,1,N1000_nX10_sx1,3,1000,10,1,1.664474,1.290422,1.119402,0.545072,0.374052,1.719829,1.335650,1.143560,0.576269,0.384179,-0.055355,-0.045228,-0.024158,-0.031197,-0.010127
lsem_i_proxyX,1,N1000_nX10_sx1,4,1000,10,1,1.764418,1.379866,1.188925,0.575493,0.384552,1.683793,1.300242,1.108467,0.575326,0.383551,0.080624,0.079624,0.080458,0.000166,0.001001
lsem_i_proxyX,1,N1000_nX10_sx1,5,1000,10,1,1.686574,1.311287,1.070296,0.616277,0.375286,1.700241,1.316632,1.124828,0.575413,0.383609,-0.013667,-0.005345,-0.054531,0.040864,-0.008323
lsem_i_proxyX,1,N1000_nX10_sx1,6,1000,10,1,1.753924,1.364376,1.094905,0.659019,0.389548,1.706095,1.321925,1.129840,0.576255,0.384170,0.047828,0.042451,-0.034935,0.082763,0.005378
lsem_i_proxyX,1,N1000_nX10_sx1,7,1000,10,1,1.604340,1.239103,1.088514,0.515826,0.365237,1.692230,1.308167,1.116135,0.576095,0.384063,-0.087890,-0.069064,-0.027621,-0.060269,-0.018827
lsem_i_proxyX,1,N1000_nX10_sx1,8,1000,10,1,1.788817,1.378718,1.039962,0.748855,0.410100,1.718281,1.335163,1.143604,0.574678,0.383118,0.070536,0.043555,-0.103641,0.174177,0.026981
lsem_i_proxyX,1,N1000_nX10_sx1,9,1000,10,1,1.669462,1.335791,1.164961,0.504501,0.333670,1.697647,1.314205,1.122484,0.575163,0.383442,-0.028185,0.021586,0.042477,-0.070662,-0.049772
lsem_i_proxyX,1,N1000_nX10_sx1,10,1000,10,1,1.814644,1.482346,1.251666,0.562979,0.332299,1.723279,1.339139,1.147069,0.576210,0.384140,0.091365,0.143207,0.104597,-0.013232,-0.051841
lsem_i_proxyX,1,N1000_nX10_sx1,11,1000,10,1,1.546571,1.305794,1.136721,0.409850,0.240777,1.713047,1.329041,1.137038,0.576008,0.384006,-0.166476,-0.023247,-0.000317,-0.166158,-0.143229
lsem_i_proxyX,1,N1000_nX10_sx1,12,1000,10,1,1.653169,1.296423,1.094230,0.558939,0.356746,1.707714,1.323999,1.132142,0.575573,0.383715,-0.054545,-0.027577,-0.037912,-0.016634,-0.026969
lsem_i_proxyX,1,N1000_nX10_sx1,13,1000,10,1,1.750927,1.357446,1.066868,0.684059,0.393482,1.698897,1.314633,1.122501,0.576396,0.384264,0.052030,0.042812,-0.055633,0.107663,0.009218
lsem_i_proxyX,1,N1000_nX10_sx1,14,1000,10,1,1.723305,1.338232,1.117716,0.605589,0.385072,1.656659,1.273149,1.081394,0.575264,0.383510,0.066646,0.065083,0.036321,0.030324,0.001563
lsem_i_proxyX,1,N1000_nX10_sx1,15,1000,10,1,1.530893,1.211003,1.040600,0.490293,0.319891,1.704277,1.320221,1.128193,0.576084,0.384056,-0.173384,-0.109218,-0.087593,-0.085791,-0.064166
lsem_i_proxyX,1,N1000_nX10_sx1,16,1000,10,1,1.498006,1.189003,1.041785,0.456221,0.309003,1.703545,1.319200,1.127028,0.576517,0.384344,-0.205539,-0.130198,-0.085243,-0.120295,-0.075341
lsem_i_proxyX,1,N1000_nX10_sx1,17,1000,10,1,1.452669,1.127008,0.956848,0.495820,0.325661,1.693700,1.309708,1.117711,0.575989,0.383993,-0.241032,-0.182700,-0.160863,-0.080168,-0.058332
lsem_i_proxyX,1,N1000_nX10_sx1,18,1000,10,1,1.597336,1.286124,1.093219,0.504117,0.311212,1.721993,1.337795,1.145696,0.576297,0.384198,-0.124658,-0.051671,-0.052477,-0.072181,-0.072987
lsem_i_proxyX,1,N1000_nX10_sx1,19,1000,10,1,1.665734,1.297618,1.128452,0.537281,0.368116,1.673038,1.289490,1.097716,0.575323,0.383548,-0.007305,0.008128,0.030737,-0.038041,-0.015433
lsem_i_proxyX,1,N1000_nX10_sx1,20,1000,10,1,1.733786,1.369477,1.161623,0.572163,0.364309,1.718395,1.334599,1.142701,0.575694,0.383796,0.015391,0.034877,0.018922,-0.003531,-0.019487
lsem_i_proxyX,1,N1000_nX10_sx1,21,1000,10,1,1.838141,1.460292,1.236012,0.602129,0.377849,1.719265,1.335321,1.143349,0.575916,0.383944,0.118876,0.124971,0.092663,0.026213,-0.006095
lsem_i_proxyX,1,N1000_nX10_sx1,22,1000,10,1,1.387081,1.009492,0.748542,0.638539,0.377590,1.707391,1.323831,1.132051,0.575340,0.383560,-0.320310,-0.314339,-0.383509,0.063199,-0.005971
