method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_i_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.861890,1.544020,1.280468,0.581422,0.317871,1.671828,1.288109,1.096250,0.575578,0.383719,0.190063,0.255911,0.184219,0.005844,-0.065848
lsem_i_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.738416,1.413331,1.253244,0.485171,0.325085,1.702962,1.319520,1.127799,0.575163,0.383442,0.035454,0.093811,0.125446,-0.089992,-0.058357
lsem_i_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.739503,1.297390,1.128027,0.611477,0.442113,1.719829,1.335650,1.143560,0.576269,0.384179,0.019675,-0.038260,-0.015533,0.035208,0.057934
lsem_i_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.961940,1.533337,1.319279,0.642661,0.428603,1.683793,1.300242,1.108467,0.575326,0.383551,0.278147,0.233095,0.210812,0.067335,0.045052
lsem_i_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.719659,1.306414,1.100158,0.619501,0.413245,1.700241,1.316632,1.124828,0.575413,0.383609,0.019418,-0.010218,-0.024670,0.044088,0.029636
lsem_i_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.932166,1.535231,1.248888,0.683278,0.396935,1.706095,1.321925,1.129840,0.576255,0.384170,0.226071,0.213306,0.119048,0.107023,0.012765
lsem_i_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.601642,1.263904,1.055925,0.545717,0.337738,1.692230,1.308167,1.116135,0.576095,0.384063,-0.090588,-0.044262,-0.060210,-0.030378,-0.046326
lsem_i_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.910963,1.479732,1.128261,0.782702,0.431231,1.718281,1.335163,1.143604,0.574678,0.383118,0.192681,0.144568,-0.015342,0.208024,0.048113
lsem_i_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.951724,1.590373,1.367098,0.584626,0.361351,1.697647,1.314205,1.122484,0.575163,0.383442,0.254077,0.276169,0.244614,0.009463,-0.022091
lsem_i_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.816422,1.459906,1.148263,0.668159,0.356517,1.723279,1.339139,1.147069,0.576210,0.384140,0.093143,0.120767,0.001194,0.091949,-0.027624
lsem_i_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.611909,1.389682,1.222553,0.389356,0.222227,1.713047,1.329041,1.137038,0.576008,0.384006,-0.101138,0.060640,0.085514,-0.186653,-0.161779
lsem_i_oracleZ,1,N1000_nX10_sx1,12,1000,10,1,1.559036,1.265386,0.977619,0.581417,0.293650,1.707714,1.323999,1.132142,0.575573,0.383715,-0.148679,-0.058613,-0.154523,0.005844,-0.090065
lsem_i_oracleZ,1,N1000_nX10_sx1,13,1000,10,1,1.872196,1.491022,1.198413,0.673782,0.381173,1.698897,1.314633,1.122501,0.576396,0.384264,0.173298,0.176389,0.075912,0.097386,-0.003091
lsem_i_oracleZ,1,N1000_nX10_sx1,14,1000,10,1,1.692386,1.295443,1.078804,0.613581,0.396942,1.656659,1.273149,1.081394,0.575264,0.383510,0.035727,0.022294,-0.002590,0.038317,0.013433
lsem_i_oracleZ,1,N1000_nX10_sx1,15,1000,10,1,1.870627,1.505323,1.325301,0.545326,0.365304,1.704277,1.320221,1.128193,0.576084,0.384056,0.166350,0.185102,0.197108,-0.030758,-0.018752
lsem_i_oracleZ,1,N1000_nX10_sx1,16,1000,10,1,1.288287,0.977743,0.809775,0.478511,0.310543,1.703545,1.319200,1.127028,0.576517,0.384344,-0.415258,-0.341457,-0.317253,-0.098005,-0.073801
lsem_i_oracleZ,1,N1000_nX10_sx1,17,1000,10,1,1.455959,1.143065,0.973049,0.482909,0.312894,1.693700,1.309708,1.117711,0.575989,0.383993,-0.237742,-0.166643,-0.144662,-0.093079,-0.071099
lsem_i_oracleZ,1,N1000_nX10_sx1,18,1000,10,1,1.564814,1.264775,1.012659,0.552154,0.300038,1.721993,1.337795,1.145696,0.576297,0.384198,-0.157180,-0.073020,-0.133037,-0.024143,-0.084160
lsem_i_oracleZ,1,N1000_nX10_sx1,19,1000,10,1,1.766346,1.316367,1.133142,0.633205,0.449979,1.673038,1.289490,1.097716,0.575323,0.383548,0.093308,0.026877,0.035426,0.057882,0.066431
lsem_i_oracleZ,1,N1000_nX10_sx1,20,1000,10,1,1.881049,1.510992,1.295898,0.585152,0.370057,1.718395,1.334599,1.142701,0.575694,0.383796,0.162654,0.176393,0.153196,0.009458,-0.013739
lsem_i_oracleZ,1,N1000_nX10_sx1,21,1000,10,1,1.966816,1.581593,1.317650,0.649167,0.385223,1.719265,1.335321,1.143349,0.575916,0.383944,0.247551,0.246272,0.174301,0.073251,0.001279
lsem_i_oracleZ,1,N1000_nX10_sx1,22,1000,10,1,1.550406,1.164889,0.932313,0.618094,0.385518,1.707391,1.323831,1.132051,0.575340,0.383560,-0.156985,-0.158942,-0.199738,0.042754,0.001958
lsem_i_oracleZ,1,N1000_nX10_sx1,23,1000,10,1,1.760911,1.273063,1.028001,0.732910,0.487848,1.709506,1.325669,1.133751,0.575755,0.383837,0.051405,-0.052607,-0.105749,0.157154,0.104011
lsem_i_oracleZ,1,N1000_nX10_sx1,24,1000,10,1,1.627007,1.292818,0.998212,0.628795,0.334189,1.669989,1.285924,1.093891,0.576098,0.384065,-0.042982,0.006894,-0.095679,0.052697,-0.049876
lsem_i_oracleZ,1,N1000_nX10_sx1,25,1000,10,1,1.848367,1.382194,1.151273,0.697094,0.466173,1.716406,1.333512,1.142066,0.574340,0.382894,0.131961,0.048681,0.009207,0.122754,0.083280
lsem_i_oracleZ,1,N1000_nX10_sx1,26,1000,10,1,2.005708,1.580425,1.281068,0.724640,0.425283,1.724416,1.341115,1.149464,0.574952,0.383302,0.281292,0.239311,0.131604,0.149688,0.041981
lsem_i_oracleZ,1,N1000_nX10_sx1,27,1000,10,1,1.773133,1.324847,0.982892,0.790240,0.448286,1.725889,1.341841,1.149817,0.576073,0.384048,0.047243,-0.016994,-0.166924,0.214168,0.064238
lsem_i_oracleZ,1,N1000_nX10_sx1,28,1000,10,1,1.846761,1.375850,1.207796,0.638966,0.470911,1.711447,1.327251,1.135152,0.576295,0.384197,0.135314,0.048600,0.072643,0.062671,0.086714
lsem_i_oracleZ,1,N1000_nX10_sx1,29,1000,10,1,1.702523,1.346258,1.164201,0.538322,0.356265,1.670588,1.286597,1.094602,0.575986,0.383991,0.031935,0.059661,0.069599,-0.037664,-0.027726
lsem_i_oracleZ,1,N1000_nX10_sx1,30,1000,10,1,1.555300,1.150109,0.911905,0.643395,0.405190,1.713034,1.329738,1.138089,0.574944,0.383296,-0.157734,-0.179628,-0.226184,0.068450,0.021894
lsem_i_oracleZ,1,N1000_nX10_sx1,31,1000,10,1,1.340685,1.152691,1.019894,0.320791,0.187994,1.700429,1.316534,1.124587,0.575842,0.383895,-0.359744,-0.163844,-0.104693,-0.255051,-0.195901
lsem_i_oracleZ,1,N1000_nX10_sx1,32,1000,10,1,1.623210,1.334619,1.146067,0.477143,0.288591,1.693306,1.309868,1.118149,0.575157,0.383438,-0.070096,0.024751,0.027918,-0.098014,-0.094847
lsem_i_oracleZ,1,N1000_nX10_sx1,33,1000,10,1,1.246241,0.917553,0.810067,0.436174,0.328688,1.682646,1.299067,1.107277,0.575368,0.383579,-0.436404,-0.381514,-0.297210,-0.139194,-0.054891
lsem_i_oracleZ,1,N1000_nX10_sx1,34,1000,10,1,1.632686,1.323564,1.108810,0.523876,0.309123,1.697393,1.313635,1.121756,0.575637,0.383758,-0.064707,0.009928,-0.012946,-0.051761,-0.074636
lsem_i_oracleZ,1,N1000_nX10_sx1,35,1000,10,1,1.630736,1.374999,1.110528,0.520208,0.255737,1.707402,1.323101,1.130950,0.576452,0.384302,-0.076666,0.051898,-0.020422,-0.056244,-0.128564
lsem_i_oracleZ,1,N1000_nX10_sx1,36,1000,10,1,1.697106,1.305006,0.980781,0.716325,0.392100,1.692474,1.308142,1.115975,0.576499,0.384333,0.004631,-0.003136,-0.135195,0.139826,0.007767
lsem_i_oracleZ,1,N1000_nX10_sx1,37,1000,10,1,1.582608,1.281778,1.059127,0.523481,0.300830,1.677742,1.293866,1.101928,0.575815,0.383876,-0.095134,-0.012088,-0.042801,-0.052333,-0.083047
lsem_i_oracleZ,1,N1000_nX10_sx1,38,1000,10,1,1.932702,1.560275,1.266923,0.665779,0.372426,1.698164,1.314891,1.123254,0.574910,0.383273,0.234538,0.245385,0.143669,0.090869,-0.010847
lsem_i_oracleZ,1,N1000_nX10_sx1,39,1000,10,1,1.348436,1.065371,0.909674,0.438763,0.283065,1.691210,1.307210,1.115210,0.576000,0.384000,-0.342774,-0.241839,-0.205536,-0.137238,-0.100935
lsem_i_oracleZ,1,N1000_nX10_sx1,40,1000,10,1,1.562955,1.324506,1.153259,0.409697,0.238450,1.688053,1.303718,1.111550,0.576503,0.384335,-0.125097,0.020788,0.041709,-0.166806,-0.145886
lsem_i_oracleZ,1,N1000_nX10_sx1,41,1000,10,1,1.640738,1.249166,1.073884,0.566853,0.391572,1.677903,1.293262,1.100942,0.576960,0.384640,-0.037165,-0.044097,-0.027058,-0.010107,0.006932
lsem_i_oracleZ,1,N1000_nX10_sx1,42,1000,10,1,1.584073,1.268611,1.048531,0.535542,0.315461,1.703164,1.318877,1.126733,0.576432,0.384288,-0.119092,-0.050265,-0.078202,-0.040890,-0.068826
lsem_i_oracleZ,1,N1000_nX10_sx1,43,1000,10,1,1.592222,1.335996,1.145370,0.446853,0.256226,1.731179,1.347082,1.155034,0.576146,0.384097,-0.138957,-0.011086,-0.009664,-0.129293,-0.127871
lsem_i_oracleZ,1,N1000_nX10_sx1,44,1000,10,1,1.821761,1.458582,1.214175,0.607585,0.363179,1.722610,1.338402,1.146298,0.576312,0.384208,0.099150,0.120180,0.067877,0.031273,-0.021029
lsem_i_oracleZ,1,N1000_nX10_sx1,45,1000,10,1,1.630393,1.303491,1.129528,0.500865,0.326902,1.694046,1.311020,1.119507,0.574540,0.383026,-0.063653,-0.007529,0.010021,-0.073674,-0.056124
lsem_i_oracleZ,1,N1000_nX10_sx1,46,1000,10,1,1.599723,1.283498,1.132086,0.467636,0.316225,1.697591,1.313713,1.121773,0.575818,0.383879,-0.097869,-0.030215,0.010313,-0.108181,-0.067654
lsem_i_oracleZ,1,N1000_nX10_sx1,47,1000,10,1,1.504884,1.200865,0.970317,0.534566,0.304019,1.723506,1.339938,1.148155,0.575351,0.383567,-0.218622,-0.139073,-0.177837,-0.040785,-0.079549
lsem_i_oracleZ,1,N1000_nX10_sx1,48,1000,10,1,1.716822,1.319607,1.087527,0.629295,0.397215,1.711434,1.327379,1.135352,0.576082,0.384054,0.005388,-0.007772,-0.047825,0.053213,0.013160
lsem_i_oracleZ,1,N1000_nX10_sx1,49,1000,10,1,1.551006,1.264293,1.037120,0.513886,0.286713,1.739449,1.355365,1.163323,0.576126,0.384084,-0.188443,-0.091072,-0.126203,-0.062240,-0.097371
