method,scenario_id,scenario,rep,N,n_X,sigma2_x,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias
lsem_oracleZ,1,N1000_nX10_sx1,1,1000,10,1,1.864891,1.409035,1.409035,0.455856,0.455856,1.671828,1.288109,1.096250,0.575578,0.383719,0.193063,0.120926,0.312785,-0.119722,0.072138
lsem_oracleZ,1,N1000_nX10_sx1,2,1000,10,1,1.729654,1.323928,1.323928,0.405726,0.405726,1.702962,1.319520,1.127799,0.575163,0.383442,0.026692,0.004408,0.196129,-0.169437,0.022284
lsem_oracleZ,1,N1000_nX10_sx1,3,1000,10,1,1.739276,1.218587,1.218587,0.520689,0.520689,1.719829,1.335650,1.143560,0.576269,0.384179,0.019447,-0.117063,0.075027,-0.055580,0.136510
lsem_oracleZ,1,N1000_nX10_sx1,4,1000,10,1,1.957432,1.413495,1.413495,0.543937,0.543937,1.683793,1.300242,1.108467,0.575326,0.383551,0.273639,0.113253,0.305028,-0.031389,0.160386
lsem_oracleZ,1,N1000_nX10_sx1,5,1000,10,1,1.719954,1.207542,1.207542,0.512412,0.512412,1.700241,1.316632,1.124828,0.575413,0.383609,0.019713,-0.109090,0.082714,-0.063001,0.128803
lsem_oracleZ,1,N1000_nX10_sx1,6,1000,10,1,1.935615,1.379173,1.379173,0.556442,0.556442,1.706095,1.321925,1.129840,0.576255,0.384170,0.229520,0.057248,0.249333,-0.019813,0.172272
lsem_oracleZ,1,N1000_nX10_sx1,7,1000,10,1,1.601824,1.156076,1.156076,0.445749,0.445749,1.692230,1.308167,1.116135,0.576095,0.384063,-0.090406,-0.152091,0.039941,-0.130346,0.061685
lsem_oracleZ,1,N1000_nX10_sx1,8,1000,10,1,1.910641,1.310541,1.310541,0.600100,0.600100,1.718281,1.335163,1.143604,0.574678,0.383118,0.192360,-0.024622,0.166937,0.025423,0.216982
lsem_oracleZ,1,N1000_nX10_sx1,9,1000,10,1,1.951239,1.476566,1.476566,0.474673,0.474673,1.697647,1.314205,1.122484,0.575163,0.383442,0.253592,0.162361,0.354082,-0.100490,0.091231
lsem_oracleZ,1,N1000_nX10_sx1,10,1000,10,1,1.801359,1.304117,1.304117,0.497242,0.497242,1.723279,1.339139,1.147069,0.576210,0.384140,0.078079,-0.035022,0.157048,-0.078969,0.113101
lsem_oracleZ,1,N1000_nX10_sx1,11,1000,10,1,1.615527,1.306895,1.306895,0.308631,0.308631,1.713047,1.329041,1.137038,0.576008,0.384006,-0.097520,-0.022146,0.169857,-0.267377,-0.075374
