method,scenario_id,n_reps,scenario,N,n_X,sigma_x,ATE_est_mean,ATE_est_sd,ATE_true,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_true,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_true,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_true,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_true,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
cmavae,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.619187,0.136870,1.710150,-0.120246,0.135421,0.180595,,,,,,,1.072713,0.097562,1.134572,-0.090983,0.096188,0.132051,0.546474,0.113711,0.575578,-0.029263,0.113788,0.116939,0.345636,0.074141,0.383719,-0.038188,0.074196,0.083116
cmavae,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.607844,0.070078,1.743241,-0.129801,0.071319,0.147932,,,,,,,1.070382,0.052622,1.167094,-0.091595,0.053833,0.106107,0.537462,0.055151,0.576147,-0.038206,0.055161,0.066873,0.346823,0.035891,0.384098,-0.036955,0.035878,0.051382
cmavae,3,100,N1000_nX200_sx0.7,1000,200,0.700000,1.585911,0.122720,1.736200,-0.153807,0.124150,0.197270,,,,,,,1.033461,0.096156,1.160453,-0.130575,0.097295,0.162547,0.552450,0.105738,0.575747,-0.023232,0.105859,0.107860,0.356763,0.074094,0.383832,-0.027025,0.074153,0.078575
cmavae,4,100,N4000_nX200_sx0.7,4000,200,0.700000,1.581045,0.065068,1.732911,-0.157048,0.064976,0.169835,,,,,,,1.056301,0.052627,1.157651,-0.106129,0.051850,0.118003,0.524743,0.061034,0.575260,-0.050920,0.061031,0.079249,0.336696,0.033418,0.383507,-0.047079,0.033396,0.057625
cmavae,5,100,N1000_nX10_sx2,1000,10,2.000000,1.752507,0.133648,1.746326,0.013232,0.131585,0.131592,,,,,,,1.151822,0.088068,1.170387,-0.011775,0.086354,0.086725,0.600685,0.111120,0.575938,0.025007,0.111072,0.113309,0.384697,0.080069,0.383959,0.000912,0.080042,0.079646
cmavae,6,100,N4000_nX10_sx2,4000,10,2.000000,1.746953,0.069560,1.733835,0.010741,0.069074,0.069562,,,,,,,1.150911,0.052698,1.158115,-0.009648,0.051736,0.052373,0.596042,0.058984,0.575720,0.020388,0.058937,0.062085,0.381281,0.037871,0.383813,-0.002488,0.037832,0.037724
cmavae,7,100,N1000_nX200_sx2,1000,200,2.000000,1.579583,0.112144,1.697581,-0.159528,0.110839,0.193937,,,,,,,1.037951,0.089541,1.122311,-0.125511,0.088871,0.153532,0.541632,0.089995,0.575270,-0.034017,0.089906,0.095705,0.346537,0.059601,0.383513,-0.037229,0.059573,0.069996
cmavae,8,100,N4000_nX200_sx2,4000,200,2.000000,1.598268,0.059442,1.728913,-0.137960,0.059687,0.150199,,,,,,,1.053730,0.052611,1.152902,-0.106815,0.052607,0.118950,0.544539,0.053568,0.576012,-0.031145,0.053510,0.061682,0.351182,0.034942,0.384008,-0.032607,0.034902,0.047636
dmavae,1,100,N1000_nX10_sx0.7,1000,10,0.700000,1.805563,0.199995,1.710150,0.066131,0.199127,0.208874,,,,,,,1.154624,0.182875,1.134572,-0.009072,0.182165,0.181479,0.650939,0.142762,0.575578,0.075203,0.142853,0.160806,0.422898,0.094316,0.383719,0.039074,0.094382,0.101714
dmavae,2,100,N4000_nX10_sx0.7,4000,10,0.700000,1.776644,0.145174,1.743241,0.038999,0.145474,0.149907,,,,,,,1.154581,0.145417,1.167094,-0.007396,0.146151,0.145607,0.622063,0.090758,0.576147,0.046395,0.090760,0.101526,0.412410,0.062518,0.384098,0.028631,0.062509,0.068469
